Company,Company Name for Emails,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,NAICS Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,Prerequisite: Research Target Company,Qualify Account,Prerequisite: Determine Research Guidelines
Climeworks,Climeworks,380,environmental services,tbeal@natoli.com,http://www.climeworks.com,http://www.linkedin.com/company/climeworks,https://www.facebook.com/climeworks,https://twitter.com/Climeworks,155 Birchstrasse,Zurich,Zurich,Switzerland,8050,"155 Birchstrasse, Zurich, Zurich, Switzerland, 8050","co2, negative emissions, carbon removal, carbontech, cdr, net zero, sustainability, cleantech, greentech, carbon capture, carbon dioxide removal, climate change, direct air capture, innovation, technology, climate action, dac, act now, climate positive, climate pioneers, remove co2, climate technology, climate change mitigation, net-zero, research and development in the physical, engineering, and life sciences, carbon removal certification, consulting, environmental impact, climate impact, climate mitigation, climate innovation, co2 utilization, climate policy, environmental services, co2 supply chain, carbon capture and storage, carbon credits, geological storage, climate resilience, climate tech investment, dac plant operation, carbon removal infrastructure, b2b, sustainable development, carbon market, direct air capture technology, permanent co2 storage, dac technology, d2c, sustainable technology, climate solutions, climate tech startups, customer engagement, carbon removal portfolios, government, services, renewable energy, carbon removal industry, retail, climate tech, industrial applications, e-commerce, blue carbon, co2 sequestration, large-scale dac, carbon removal standards, b2c, climate leadership, technology scaling, co2 removal projects, carbon offset, industrial co2 use, emissions reduction, co2 capture, carbon capture facilities, permanent storage, climate finance, climate solutions provider, industrial decarbonization, climate impact measurement, nature-based solutions, engineered solutions, online carbon removal, carbon removal advisory, subscription services, co2 capture technology, afforestation, biochar, beccs, enhanced weathering, scalable solutions, carbon capture plants, high-quality carbon removal, atmospheric co2 reduction, customized carbon strategies, measurable impact, climate goals, sustainable practices, scientific advisory, co2 management, carbon offsetting, environmental responsibility, long-term climate commitments, public-private partnerships, specialized filters, energy-from-waste, waste heat utilization, carbon footprint, climate mitigation strategies, permanent co2 removal, scalable carbon solutions, advanced filtration, community contributions, pioneering technology, carbon marketplace, climate change solutions, effective carbon solutions, finance, renewables & environment, clean energy & technology, consumer internet, consumers, internet, information technology & services, financial services",'+41 44 533 29 99,"Cloudflare DNS, Outlook, Microsoft Office 365, CloudFlare Hosting, VueJS, Atlassian Cloud, Netlify, OneTrust, Pardot, Salesforce, Mobile Friendly, Cloudinary, Bootstrap Framework, Trustpilot",886880000,Venture (Round not Specified),117590000,7/1/2025,75000000,,69726e748e65570001f3caed,3822,54171,"Climeworks AG is a Swiss company founded in 2009, specializing in direct air capture (DAC) technology to remove carbon dioxide (CO₂) from the atmosphere. Headquartered in Zürich, Switzerland, with a subsidiary in Cologne, Germany, Climeworks employs over 300 people and operates more than 15 plants, primarily in Europe. Its largest facility, Orca, located in Iceland, is the world's first large-scale DAC+S plant, which permanently stores CO₂ underground.

The company uses renewable energy to power its modular DAC collectors, achieving a low CO₂ re-emission rate. Climeworks has developed a two-step process for capturing CO₂, which includes filtering ambient air and desorbing CO₂ with heat. It offers carbon removal as a service (CDRaaS) to help organizations meet net-zero goals. Climeworks serves over 160 companies, including notable names like Microsoft and UBS, and collaborates with various partners for carbon storage and innovative projects.",2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/697173bd8def6c00019f0001/picture,,,,,,,,
Milani Cosmetics,Milani Cosmetics,140,"health, wellness & fitness",tbeal@natoli.com,http://www.milanicosmetics.com,http://www.linkedin.com/company/milanicosmetics,https://www.facebook.com/Milani/,https://twitter.com/milanicosmetics,10000 Washington Boulevard,Culver City,California,United States,90232,"10000 Washington Boulevard, Culver City, California, United States, 90232","cosmetics, luxury for all, lipstick, blush, mascara, eyeliner, skincare, makeup, personal care product manufacturing, collaborations with athletes, diverse skin tones, customer engagement, inclusive beauty, beauty industry, cruelty-free products, anti-aging, product innovation, multi-ethnic product range, b2c, sustainable beauty products, makeup brushes, lip products, beauty experimentation, beauty collection, retail, athlete collaborations, diversity, social impact in beauty, gender-neutral products, social media-driven branding, influencer collaborations, cruelty free, d2c, brand storytelling, e-commerce, lip gloss, face products, market expansion, skin tone inclusivity, brand reputation, value sets, luxury makeup, bronzer, self-expression, social media marketing, brand loyalty, diverse marketing, self-expression through makeup, sustainable packaging, vegan ingredients, face primer, affordable luxury, brand partnerships, online shopping, social media influencer marketing, lip balm, social media campaigns, concealer, inclusive shades, highlighter, vegan makeup, self-confidence, luxury beauty, social media beauty campaigns, diversity marketing strategies, inclusive beauty campaigns, inclusive makeup, cruelty-free skincare, consumer trust, consumer goods, affordable cosmetics, beauty influencer, global reach, beauty tools, foundation, product launch, makeup products, setting powders, brand values, diversity in beauty, vegan cosmetics, eco-friendly packaging, beauty for all skin tones, collaborations, inclusive product lines, beauty for every skin tone, beauty inclusivity, product development, digital marketing, high-quality makeup, market trends, social responsibility, inclusive foundation shades, eyeshadow, beauty products, product diversity, lip liner, lip plumper, primer, setting spray, brow products, false eyelashes, multi-tasking balm, hydrating lip stain, fruit lip oil, liquid blush, cream bronzer, skin tint, hydrating formula, cruelty-free cosmetics, lightweight coverage, buildable coverage, blur out formula, smooth finish, moisturizing, color-rich, shimmering shades, longwear formula, natural finish, pop of color, eyeshadow sticks, limited edition, exclusive bundles, dewy finish, smooth application, shade match, best-sellers, hydration, manufacturing, distribution, consumer products & retail, beauty, apparel & fashion, health, wellness & fitness, consumer internet, consumers, internet, information technology & services, marketing & advertising, marketing, mechanical or industrial engineering",'+1 866-789-8002,"Cloudflare DNS, Outlook, MailChimp SPF, Zendesk, accessiBe, UPS, Afterpay, React, Shopify Unlimited, Shopify Plus, Workable, Typekit, Google Font API, Google Dynamic Remarketing, Mobile Friendly, Shopify, Google Tag Manager, Yotpo, Google Analytics, Google AdWords Conversion, Vimeo, Facebook Login (Connect), DoubleClick, DoubleClick Conversion, Amazon Associates, Curebit, Facebook Widget, Facebook Custom Audiences, Klaviyo, CrazyEgg, RocketFuel, Bing Ads, Paypal, Hotjar, Render, AI",,Merger / Acquisition,0,5/1/2018,200000000,,69726e748e65570001f3cafd,2842,,"Milani Cosmetics is an independent cosmetics brand founded in 2001 by siblings Ralph Bijou and Laurie Minc. Based in Los Angeles, the company focuses on affordable luxury color cosmetics, offering prestige-quality products at accessible prices. Milani has rapidly grown to become one of the fastest-growing color cosmetics companies in the U.S., ranking as the No. 7 brand in the lip, eye, and face categories.

The brand is committed to inclusivity, aiming to provide luxury beauty products to everyone, particularly serving multicultural audiences and addressing the needs of historically underserved demographics. Milani's product range includes face makeup, eye makeup, lip products, and specialized collections, all priced under $20 and cruelty-free. The company distributes its products through major retailers like Ulta, Walmart, and Target, and has expanded internationally, starting with Singapore. Milani's customer base includes women of all skin tones and budget-conscious consumers seeking high-quality cosmetics.",2001,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696d67d83ca7a600012b113b/picture,Gryphon Investors (gryphon-inv.com),,,,,,,
Urban Decay,Urban Decay,580,cosmetics,tbeal@natoli.com,http://www.urbandecay.com,http://www.linkedin.com/company/urban-decay-cosmetics,https://facebook.com/urbandecayglobal,https://twitter.com/urbandecay,833 West 16th Street,Newport Beach,California,United States,92663,"833 West 16th Street, Newport Beach, California, United States, 92663","color cosmetics, eyeshadow, primers, eye pencils, d2c, ethical beauty, cosmetic formulas, makeup, social media engagement, e-commerce platform, vegan, influencer collaborations, product innovation, beauty products, manufacturing, retail, cosmetic product formulas, beauty retail, digital marketing, cruelty-free, vegan makeup products, bold colors, high-pigment makeup, self-expression cosmetics, product innovation in makeup, eyeshadow palettes, longwear formulas, customer engagement, social media marketing, self-expression makeup, ethical cosmetics, self-expression, beauty industry, longwear makeup, bold color cosmetics, influencer collaborations in beauty, vegan beauty products, cruelty-free beauty, cruelty-free formulations, brand ethos, b2c, beauty brand loyalty, cosmetics innovation, bold makeup shades, limited edition collections, e-commerce, online shopping, cosmetics, industry standards in cosmetics, beauty brand, product research and development, cosmetics development, distribution, consumer products & retail, mechanical or industrial engineering, marketing & advertising, consumer internet, consumers, internet, information technology & services, beauty, apparel & fashion",'+1 800-784-8722,"Cloudflare DNS, Microsoft Office 365, CloudFlare Hosting, Demandware Analytics, Salesforce Commerce Cloud, AWS SDK for JavaScript, OneTrust, Afterpay, The Trade Desk, Figma, Render",,Merger / Acquisition,0,12/1/2012,130000000,,69726e748e65570001f3cb01,2844,,"Urban Decay Cosmetics is a bold makeup brand founded in 1996 in Southern California. Co-founded by Wende Zomnir and Sandy Lerner, the brand emerged from a desire to challenge the traditional beauty norms dominated by pink and beige shades. Urban Decay started with 12 nail polishes and 10 lipsticks in vibrant colors and has since become known for its high-performance products and commitment to fearless self-expression.

The brand offers a wide range of cosmetics, including the popular Naked palettes, 24/7 eyeliners, and the iconic All Nighter Setting Spray. Urban Decay emphasizes long-lasting formulas and creative, rule-breaking makeup that appeals to a diverse audience. Its products are available at major retailers like Sephora, Macy's, and Ulta Beauty, as well as through its online platform. Urban Decay continues to inspire beauty rebels and disruptors with its mission to promote uncensored expression and creativity in makeup.",1996,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6970f76396e6250001abc570/picture,L'Oréal (loreal.com),,,,,,,
Bare Escentuals,Bare Escentuals,,,tbeal@natoli.com,,,,,,,,,,,,,,,,,,,,69726e748e65570001f3cb02,,,,,,,,,,,,,
Remedy Pharmacy,Remedy Pharmacy,,,tbeal@natoli.com,http://www.remedypharmacy.com,,,,,,,,,,,,,,,,,,,697274140674f100016f2956,,,,,,,,,,,,,
Advanced Compounding Center,Advanced Compounding Center,,,tbeal@natoli.com,http://www.advancedcompoundingcenter.com,,,,,,,,,,,,,,,,,,,697274140674f100016f295e,,,,,,,,,,,,,
Advanced Wellness RX,Advanced Wellness RX,,,tbeal@natoli.com,http://www.advancedwellnessrx.com,,,,,,,,,,,,,,,,,,,697274140674f100016f2966,,,,,,,,,,,,,
Community RX Compounding,Community RX Compounding,0,pharmaceuticals,tbeal@natoli.com,http://www.communityrx.com,,https://facebook.com/pages/Augusta-ME/Community-Pharmacies/147725191907919,,16 Commerce Dr,Augusta,Maine,United States,04330-7888,"16 Commerce Dr, Augusta, Maine, United States, 04330-7888","drugstores, shopping",'+1 207-790-2220,"Outlook, Microsoft Office 365, DigitalOcean, DreamHost SSL, Google Font API, Google Play, Nginx, WordPress.org, Mobile Friendly, AI",,,,,44370000,1,697274140674f100016f296b,,,"Community Pharmacies is a Maine-based company that owns and operates a chain of pharmacy stores providing generic medicines, consultation, and health screening for patients.",1998,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/5fed4df03f498a00016a1a9f/picture,Hannaford Supermarkets (hannaford.com),,,,,,,
Evergreen Compounding,Evergreen Compounding,,,tbeal@natoli.com,http://www.evergreencompounding.com,,,,,,,,,,,,,,,,,,,697274140674f100016f2972,,,,,,,,,,,,,
Natron Energy,Natron Energy,140,mechanical or industrial engineering,tbeal@natoli.com,http://www.natron.energy,http://www.linkedin.com/company/natron,,,3542 Bassett Street,Santa Clara,California,United States,95054,"3542 Bassett Street, Santa Clara, California, United States, 95054","data centers, energy storage, batteries, ups, electric vehicles, industrial power, aviation ground services equipment, ev fast charging, decarbonization, peak shaving, generator hybridization, manufacturing, sodium-ion battery safety testing, safety features, power quality management, peak shaving batteries, grid energy storage, clean energy, recharge speed, sustainable battery materials, industrial applications, fast charging batteries, battery supply chain, sodium-ion battery innovation, safety, large-scale sodium-ion production, energy storage industry, battery chemistry, battery safety testing, sodium-ion vs lithium-ion, sodium-ion battery safety, sodium-ion battery cycle count, industrial power storage, industrial energy solutions, sodium-ion vs lithium-ion advantages, u.s. sourced minerals, long cycle life, prussian blue electrodes, sodium-ion technology, supply chain stability, sodium-ion battery technology, non-flammable batteries, u.s. manufacturing, non-flammable battery design, energy storage for ai, industrial power solutions, sodium-ion battery lifecycle, industrial sodium-ion batteries, energy storage innovation, performance, high power density, critical power systems, critical power sodium batteries, power density, sodium-ion battery market growth, sodium-ion battery market, abundant resources, sodium-ion battery safety features, sodium-ion battery environmental impact, sodium-ion batteries, sodium-ion battery manufacturing, energy storage for data centers, high power batteries, critical power applications, sustainability, critical power, ul 1973 listing, sodium-ion battery manufacturing process, power delivery, environmentally friendly batteries, u.s. sodium-ion batteries, conflict mineral free, u.s. battery producer, non-hazardous batteries, sodium-ion battery energy storage, microgrid batteries, energy storage solutions, renewable energy, data center power, industrial energy storage, battery lifecycle, cycle life, battery manufacturing, battery safety standards, sodium-ion battery energy density, commercial batteries, power quality management systems, high cycle life, critical power batteries, sustainable batteries, energy storage systems, long cycle life batteries, sodium-ion battery supply chain, sodium-ion battery for industrial use, ul certification, sodium-ion battery longevity, industrial batteries, sodium-ion battery applications, conflict-free materials, b2b, sodium-ion battery performance, sodium-ion battery chemistry, fast recharging, prussian blue electrode chemistry, sodium-ion battery safety certification, sodium-ion battery for data centers, services, fast recharge batteries, battery manufacturing in michigan, sustainable energy storage, battery safety, energy density, sodium-ion battery sustainability, energy technology, telecommunications, high-power applications, thermal runaway prevention, safe battery technology, ultra-safe batteries, zero strain technology, high cycle life batteries, ev fast charging solutions, microgrid energy storage, energy management systems, renewable energy storage, mass-scale battery manufacturing, domestic battery production, safe energy solutions, environmentally sustainable batteries, high performance batteries, non-flammable battery technology, backup power solutions, sodium-based battery chemistry, electrochemical performance, energy density optimization, efficiency in energy storage, deep discharge capabilities, sustainable sourcing, abundantly available resources, battery manufacturing usa, green technology, commercial battery solutions, critical power supply, enhanced energy delivery, battery recycling initiatives, performance versus lithium-ion, resource-efficient manufacturing, higher energy output, battery safety certifications, cost-effective energy storage, non-hazardous materials, ethical sourcing, energy transition, esg compliance solutions, long lifespan batteries, ultracapacitor technology, energy & utilities, internet service providers, information technology & services, oil & energy, hardware, clean energy & technology, environmental services, renewables & environment, mechanical or industrial engineering",'+1 408-498-5828,"Salesforce, Outlook, Microsoft Office 365, Amazon AWS, Mobile Friendly, YouTube, Google Tag Manager, Hotjar, Vimeo, Nginx, Lever, Remote",369241222,Other,55399998,3/1/2025,65700000,,690a757b6f52f70001ca2bf9,3612,33591,"Natron Energy is a privately held energy storage company based in Santa Clara, California, founded in 2012. It is the only commercial sodium-ion battery manufacturer in the United States, focusing on developing and producing sodium-ion batteries using proprietary Prussian blue electrode chemistry. The company aims to transform industrial and grid energy storage markets, targeting sectors such as data centers, industrial mobility, telecommunications, and grid-scale energy storage.

Natron's product line includes the V80 VDC Industrial Battery Cabinet, a high-power battery system, and the BlueTray, a compact battery designed for rapid discharge. Their batteries are known for fast charging, long cycle life, and enhanced safety features. Natron operates facilities in California and Michigan, with plans for a significant gigafactory in North Carolina to expand production capacity. The company emphasizes domestic manufacturing and compliance with U.S. sourcing requirements, ensuring a reliable supply of materials for its innovative battery solutions.",2012,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696dbae6143fc40001e90d9b/picture,,,,,,,,
Wildcat Discovery Technologies,Wildcat Discovery,68,chemicals,tbeal@natoli.com,http://www.wildcatdiscovery.com,http://www.linkedin.com/company/wildcatbattery,https://facebook.com/WildcatBattery/,https://twitter.com/WildcatBattery,6255 Ferris Sq,San Diego,California,United States,92121-3206,"6255 Ferris Sq, San Diego, California, United States, 92121-3206","lithium ion battery materials, cathodes, electrolytes, anodes, high throughput, batteries, electric vehicles, technology, research, chemistry, engineering, medical, military, consumer products, gas storage, carbon capture, structural materials, clean energy, cathode material supply, cathode material production, chemical manufacturing, battery manufacturing, services, transportation & logistics, manufacturing, lfp energy density, nickel and cobalt-free cathodes, b2b, energy storage, high-performance cathodes, battery cell optimization, battery r&d services, battery materials development, electrochemistry innovation, energy & utilities, battery supply chain, lmfp performance upgrade, cathode scale-up engineering, disordered rock salt (drx) technology, us-made battery materials, high-throughput platform, distribution, hardware, clean energy & technology, environmental services, renewables & environment, consumer goods, consumers, chemicals, mechanical or industrial engineering, oil & energy",'+1 858-550-1980,"Cloudflare DNS, Mailchimp Mandrill, Outlook, CloudFlare Hosting, DigitalOcean, Google Font API, Mobile Friendly, Gravity Forms, reCAPTCHA, Vimeo, Bootstrap Framework, Google Analytics, Google Tag Manager, WordPress.org, Remote",174900000,Other,4900000,10/1/2025,5200000,,6967aa7744efc20011929af5,3691,33591,"Wildcat Discovery Technologies is a U.S.-based company founded in 2006, specializing in advanced battery materials. Headquartered in San Diego, California, Wildcat focuses on developing innovative cathode materials for energy storage and electric vehicle applications. The company employs 107 people and has raised $30.1 million in funding. Wildcat has been recognized as one of the ""50 Most Innovative Companies"" by Technology Review magazine.

The company operates a dual-focused business model that combines research and development with manufacturing capabilities. Wildcat has completed over 225 projects for more than 85 customers, utilizing a proprietary high-throughput discovery platform to accelerate the development of battery materials. Their product lineup includes nickel- and cobalt-free cathode materials such as LFP, LMFP, and DRX, designed for various applications including electric vehicles and energy storage systems. Wildcat is committed to producing high-quality materials while supporting sustainable battery supply chains in North America.",2006,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696ab920fa636b00010ecd3b/picture,,,,,,,,
Vitamer Labs,Vitamer Labs,4,,tbeal@natoli.com,http://www.vitamer.com,http://www.linkedin.com/company/vitamer-laboratories,,,46 Corporate Park,Irvine,California,United States,92606,"46 Corporate Park, Irvine, California, United States, 92606",,'+1 800-432-8355,"Cloudflare DNS, Outlook, Microsoft Office 365, YouTube, Ruby On Rails, Apache, Google Analytics, Google Font API, Circle",,,,,,,69726e748e65570001f3cad5,,,Who we are,1947,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/60a5912c5307a30001c6796c/picture,,,,,,,,
Natrol LLC,Natrol,12,"health, wellness & fitness",tbeal@natoli.com,http://www.natrolkids.com,http://www.linkedin.com/company/natrol-inc,https://facebook.com/natrol,https://twitter.com/natrol,21411 Prairie St,Los Angeles,California,United States,91311,"21411 Prairie St, Los Angeles, California, United States, 91311","wellness products, natural sleep aids, children sleep solutions, sleep in as little as 15 minutes, time release melatonin, retail, sleep support, natural sleep cycle regulation, non-habit forming, relaxation support, gaba magnesium glycinate, b2c, melatonin gummies, melatonin free gummies, magnesium soft chews, sleep aids, herbal sleep support, pharmaceuticals and supplements, sleep capsules, gaba, sleep and restore, calming drink mixes, botanical blends, e-commerce, drug-free supplements, melatonin, d2c, vitamins, health and personal care products, consumer goods, doll, toy, and game manufacturing, sleep quality enhancement, sleep + calm gummies, sleep support for kids, magnesium, manufacturing, distribution, consumer products & retail, consumer internet, consumers, internet, information technology & services, mechanical or industrial engineering",'+1 800-262-8765,"Outlook, Gmail, Google Apps, Amazon AWS, Typekit, Facebook Custom Audiences, Shopify, Facebook Login (Connect), Yahoo Ad Manager Plus, TribalFusion, Yahoo Analytics, YouTube, Google Analytics, Mobile Friendly, Vimeo, Bing Ads, Google Tag Manager, Turn, The Trade Desk, DoubleClick, Facebook Widget, Adobe Media Optimizer, DoubleClick Conversion, Bazaarvoice, Google Dynamic Remarketing, DoubleClick Floodlight, Cedexis Radar, Render, Remote",133000000,Merger / Acquisition,0,11/1/2020,157000000,,69726e748e65570001f3cad7,2046,33993,"Natrol is a healthcare company that manufactures and supplies nutritional supplements, sleep management and skincare products for individuals.",1980,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,New Mountain Capital (newmountaincapital.com),,,,,,,
KeraCel Inc.,KeraCel,,,tbeal@natoli.com,,,,,,,,,,,,,,,,,,,,69726e748e65570001f3cae0,,,,,,,,,,,,,
"NGK Spark Plug Co., Ltd.",NGK Spark Plug,0,,tbeal@natoli.com,http://www.ngksparkplugs.com,,https://facebook.com/NGKSparkplugs,https://twitter.com/ArtofFast,46929 Magellan Dr,Wixom,Michigan,United States,48393,"46929 Magellan Dr, Wixom, Michigan, United States, 48393","automotive supplier, ignition products, vehicle electronics, spark plugs, glow plugs, ignition coils, oxygen sensors, exhaust gas temperature sensors, technical ceramics, sustainability, carbon neutrality, eco vision 2030, innovation, oem partnerships, aftermarket services, smart mobility, environmental responsibility, quality assurance, customer service, automotive manufacturing, industrial applications, advanced technology, research and development, global reach, premium quality, vehicle maintenance, automotive components, market leadership, mobility solutions, digital automotive services, corporate venture capital, smart health, energy efficiency, emissions control, wire sets, position sensors, pressure sensors, speed sensors, temperature sensors, specialty sensors, fluid level sensors, mass air flow sensors, air-fuel ratio monitor kits, non-automotive sensors, performance ignition coils, industrial spark plugs, ruthenium spark plugs, iridium spark plugs, platinum spark plugs, nickel spark plugs, oe-style spark plugs, advanced automotive sensors, sensor technology, engine performance parts, automotive aftermarket, rigorous testing standards, certification process, automotive innovation, technical training, diy resources, automotive education, manufacturer reliability, part finder, sensor recovery program, racing sponsorship, performance enhancement, high-efficiency engines, thermal management, warranty and support, automotive diagnostics, sensor manufacturing, automotive engineering, mod performance, engineering excellence, advanced ignition parts, emission control systems, global manufacturing footprint, automotive performance parts, environmental services, renewables & environment, research & development",'+1 248-926-6900,"Outlook, Microsoft Office 365, Bluekai, The Trade Desk, Barracuda Networks, WordPress.org, Google Tag Manager, reCAPTCHA, Mobile Friendly, Remote",100000000,Other,100000000,4/1/2021,40000000,,69726e748e65570001f3cae5,"5531, 3714",,NGK manufactures and supplies spark plugs and air-fuel ratio sensors for the automotive industry.,1966,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/661fa0098714eb0006402a04/picture,"Niterra Co., Ltd. (niterragroup.com)",,,,,,,
ITM Power,ITM Power,360,renewables & environment,tbeal@natoli.com,http://www.itm-power.com,http://www.linkedin.com/company/itm-power,https://facebook.com/ITM-Power-113334372043763/,https://twitter.com/ITMPowerPlc,2 Park Lane,Sheffield,England,United Kingdom,S10 2,"2 Park Lane, Sheffield, England, United Kingdom, S10 2","green hydrogen production, hydrogen storage, energy storage, hydrogen delivery systems, electrolysers, pem fuel cells, electrolyzers, hice, decarbonising transport, decarbonising the grid, power to gas, methanation, services for renewable energy, plug-and-play system, energy efficiency, scalable electrolyser, hydrogen network integration, iso 9001, pem electrolyser, renewable energy, renewable power, hydrogen project, hydrogen for industry, utilities, b2b, manufacturing, net-zero fuel, innovation, renewable hydrogen, sustainability, industrial, scalability, hydrogen electrolyser, government, energy transition, decarbonization, industrial decarbonization, hydrogen infrastructure, sustainable energy, hydrogen production, hydrogen for transport, hydrogen for gas blending, safety management, hydrogen supply chain, hydrogen market expansion, all other electrical equipment and component manufacturing, services, large-scale projects, iso 14001, energy, technology innovation, off-grid hydrogen, pem technology, green hydrogen, large-scale deployment, hydrogen economy, hydrogen project management, clean energy, electrolysis technology, hydrogen project financing, iso 45001, sustainable development, hydrogen solutions, decarbonisation, carbon neutral, electrolysis, fuel cells, electrolyser technology, net zero, clean fuel, modular electrolyser, industrial applications, transport decarbonisation, hydrogen purity, zero emissions, clean energy solutions, iso certification, safety standards, hydrogen fuel production, carbon footprint reduction, green energy technology, environmental impact, hydrogen utilization, hydrogen innovation, electrolytic hydrogen, hydrogen market, hydrogen for mobility, hydrogen as a fuel, hydrogen generation, hydrogen applications, utility scale electrolysis, scalable solutions, industrial decarbonisation, employee development, health and safety compliance, continuous improvement, corporate governance, investor relations, sustainable development goals, hydrogen research, finance, education, distribution, energy & utilities, oil & energy, renewables & environment, environmental services, clean energy & technology, mechanical or industrial engineering, financial services",'+44 114 244 5111,"Outlook, Microsoft Office 365, DigitalOcean, Mobile Friendly, Google Tag Manager, Nginx, Google Analytics, Hotjar, Typekit, Remote",616571540,Other,12280000,5/1/2022,34808000,,69726e748e65570001f3caea,3621,33599,"ITM Power is a Sheffield-based company founded in 2000 that specializes in designing and manufacturing proton exchange membrane (PEM) electrolysers for producing green hydrogen. This technology enables the use of renewable electricity and water to support decarbonization efforts, positioning hydrogen as a key net-zero energy carrier. The company has grown significantly over the years, becoming a high-volume manufacturer and launching advanced products like the POSEIDON and NEPTUNE V electrolysers.

ITM Power offers a range of services, including the design, manufacturing, and deployment of electrolysers for various applications, such as integration into gas networks and ammonia production. The company has been involved in notable projects like REFHYNE in Germany and HyDeploy at Keele University. ITM Power collaborates with industry leaders, including Yara, Shell, and Linde Engineering, to drive global sustainability initiatives.",2000,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/696a10afde38ea00013fd227/picture,,,,,,,,
"Magnetic Component Engineering, Inc.",Magnetic Component Engineering,31,defense & space,tbeal@natoli.com,http://www.mceproducts.com,http://www.linkedin.com/company/mce-magnetic-component-engineering,,,2830 Lomita Blvd,Torrance,California,United States,90505-5101,"2830 Lomita Blvd, Torrance, California, United States, 90505-5101","defense & space manufacturing, magnetic component engineering, medical, vacuum compatible systems, semiconductor vacuum systems, quality control, miscellaneous manufacturing, magnetizing, testing, magnetic coatings, services, aerospace applications, permanent magnets, industrial, defense applications, materials: neodymium, ceramic, alnico, samarium, magnetic materials, durability, space-grade magnets, magnet coatings for harsh environments, magnetic assemblies, semiconductors, dfars compliance, medical implant magnets, coatings and platings, communications, aerospace, reliability, magnetic testing, magnet manufacturing, tight tolerances, industry standards, high-performance magnets, itar compliance, build to print, government, high accuracy, rapid manufacturing, rapid delivery, industrial motor magnets, custom fabrication, precision engineering, magnetic components, b2b, communication link magnets, defense, guidance and navigation magnets, magnet assemblies, healthcare, manufacturing, hardware, health care, health, wellness & fitness, hospital & health care, mechanical or industrial engineering",'+1 310-784-3100,"Netriplex, Outlook, Microsoft Office 365, Webflow",,,,,15000000,,69726e748e65570001f3caf3,3691,339,Industry Leading Permanent Magnets And Magnet Assemblies,1973,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/69674e8145c2b50001640114/picture,Dexter Magnetic Technologies (dextermag.com),,,,,,,
