Company,City,State,Phone,Website,LinkedIn,Natoli Fit,Territory,Sales Rep,Industry,Confidence,Reason,503A,503B,GMP Likely,FDA Likely,Industry Match
CCI Ammunition,Lewiston,ID,-8587,https://cci-ammunition.com,https://linkedin.com/company/cci-ammunition,Engineering,Rocky Mountain,Eric Maughan,ammunition manufacturing,90,Produces rimfire ammunition requiring advanced manufacturing techniques,,,,,
PMC Ammunition,Houston,TX,,https://pmcammo.com,,Engineering,Central,David Nelson,ammunition manufacturing,75,Manufactures quality ammunition needing precise manufacturing processes,,,,,
Fiocchi of America,Ozark,MO,-5259,https://fiocchiusa.com,https://linkedin.com/company/fiocchi-of-america-inc-,Engineering,Central,David Nelson,ammunition manufacturing,90,Produces a variety of ammunition requiring advanced engineering solutions,,,,,
"Sellier & Bellot, Inc.",Suffield,CT,-11427,https://sellier-bellot.cz,,Engineering,Northeast,Raffaele Romano,ammunition manufacturing,85,Produces high-quality ammunition needing advanced tooling and presses,,,,,
Underwood Ammo,Sparta,IL,-3691,https://underwoodammo.com,https://linkedin.com/company/underwood-ammo,Engineering,Central,David Nelson,ammunition manufacturing,90,Produces high-performance ammunition requiring quality manufacturing tools,,,,,
Magtech Ammunition,Minneapolis,MN,,https://magtechammunition.com,,Engineering,Central,David Nelson,ammunition manufacturing,75,Produces a wide range of ammunition products needing advanced manufacturing,,,,,
Berger Bullets,Mesa,AZ,-8354,https://bergerbullets.com,https://linkedin.com/company/berger-bullets,Engineering,Rocky Mountain,Eric Maughan,ammunition manufacturing,90,Manufactures precision bullets requiring high-quality presses and tooling,,,,,
Norton Abrasives,Worcester,MA,-5763,https://www.nortonabrasives.com,https://linkedin.com/company/norton-abrasives,Engineering,Northeast,Raffaele Romano,abrasives manufacturing,90,Produces abrasive products that may involve compressed forms needing presses.,,,,,
Carborundum Universal Limited,Niagara Falls,NY,-7593,https://www.cumiabrasives.com,https://linkedin.com/company/carborundum-universal-limited,Engineering,Northeast,Raffaele Romano,abrasives manufacturing,90,Specializes in abrasive products that might require pressing technology.,,,,,
Washington Mills,North Grafton,MA,-7857,https://www.washingtonmills.com,https://linkedin.com/company/washington-mills,Engineering,Northeast,Raffaele Romano,abrasives manufacturing,90,"Manufacturer of abrasive grains and powders, potentially using tablet presses.",,,,,
Weiler Abrasives,Cresco,PA,-8659,https://www.weilerabrasives.com,https://linkedin.com/company/weiler-corporation,Engineering,Northeast,Raffaele Romano,abrasives manufacturing,90,Produces abrasive solutions that may utilize pressing equipment.,,,,,
"Flexovit USA, Inc.",Angola,NY,-6364,https://www.flexovitabrasives.com,https://linkedin.com/company/flexovit-usa-inc,Engineering,Northeast,Raffaele Romano,abrasives manufacturing,90,Involved in manufacturing of abrasive products that might need presses.,,,,,
"Klingspor Abrasives, Inc.",Hickory,NC,-4179,https://www.klingspor.com,https://linkedin.com/company/klingspor-abrasives-inc,Engineering,Southeast,Danny Ambrose,abrasives manufacturing,90,Produces abrasives which could require pressing technology for manufacturing.,,,,,
Camel Grinding Wheels,Niles,IL,-5494,https://www.cgwcamel.com,https://linkedin.com/company/camel-grinding-wheels,Engineering,Central,David Nelson,abrasives manufacturing,90,Produces grinding wheels and abrasives that might require tablet presses.,,,,,
"Radiac Abrasives, A TYROLIT Company",Salem,IL,-5365,https://www.radiac.com,https://linkedin.com/company/radiac-abrasives-inc,Engineering,Central,David Nelson,abrasives manufacturing,90,Manufactures abrasives that might involve pressing in their processes.,,,,,
Sungold Abrasives,Naples,FL,-5405,https://www.sungoldabrasives.com,https://linkedin.com/company/sungold-abrasives,Engineering,Southeast,Danny Ambrose,abrasives manufacturing,90,Involved in abrasive product manufacturing that may utilize tablet presses.,,,,,
SIA Abrasives,Charlotte,NC,-4434,https://www.siaabrasives.com,https://linkedin.com/company/sia-abrasives,Engineering,Southeast,Danny Ambrose,abrasives manufacturing,90,"Supplies abrasives for various applications, potentially requiring tablet presses.",,,,,
Pearl Abrasive Co.,Commerce,CA,-3312,https://www.pearlabrasive.com,https://linkedin.com/company/pearl-abrasive-company,Engineering,West Coast,Fernando Delgado,abrasives manufacturing,90,Manufactures a variety of abrasive products that might need pressing technology.,,,,,
"ARC Abrasives, Inc.",Troy,OH,-6572,https://www.arcabrasives.com,https://linkedin.com/company/arc-abrasives-inc,Engineering,Central,David Nelson,abrasives manufacturing,90,Specializes in abrasive products that could involve pressing equipment.,,,,,
Merit Abrasives,Springfield,OH,-7540,https://www.meritabrasives.com,https://linkedin.com/company/merit-abrasives,Engineering,Central,David Nelson,abrasives manufacturing,90,"Produces abrasive solutions, potentially using tablet presses for product creation.",,,,,
"Grier Abrasive Co., Inc.",Honeoye Falls,NY,-4108,https://www.grierabrasive.com,https://linkedin.com/company/grier-abrasive-co-inc,Engineering,Northeast,Raffaele Romano,abrasives manufacturing,90,Manufactures abrasive products that might require pressing technology.,,,,,
Hermes Abrasives Ltd,Virginia Beach,VA,-7824,https://www.hermesabrasives.com,https://linkedin.com/company/hermes-abrasives-ltd,Engineering,Northeast,Raffaele Romano,abrasives manufacturing,90,Produces a variety of abrasives which may involve pressing processes.,,,,,
Rex-Cut Abrasives,Fall River,MA,-9206,https://www.rexcut.com,https://linkedin.com/company/rex-cut-abrasives,Engineering,Northeast,Raffaele Romano,abrasives manufacturing,90,Manufactures abrasives that could require tablet pressing equipment.,,,,,
Estée Lauder Companies Inc.,New York,NY,-4983,https://www.elcompanies.com,https://linkedin.com/company/estee-lauder-companies-inc,Both,Northeast,Raffaele Romano,cosmetics pressed powder,100,Major cosmetics manufacturer requiring both tablet press and formulation expertise,,,,,Yes
"Revlon, Inc.",New York,NY,-4738,https://www.revlon.com,https://linkedin.com/company/revlon,Both,Northeast,Raffaele Romano,cosmetics pressed powder,100,"Produces pressed powder products, needing both tooling and formulation services",,,,,Yes
Coty Inc.,New York,NY,-7900,https://www.coty.com,https://linkedin.com/company/coty,Both,Northeast,Raffaele Romano,cosmetics pressed powder,100,Cosmetics giant with a need for tablet presses and formulation expertise,,,,,Yes
Mary Kay Inc.,Addison,TX,-7958,https://www.marykay.com,https://linkedin.com/company/mary-kay-inc,Both,Central,David Nelson,cosmetics pressed powder,100,Cosmetics manufacturer with a focus on pressed powders,,,,,Yes
Urban Decay Cosmetics,Newport Beach,CA,-10305,https://www.urbandecay.com,https://linkedin.com/company/urban-decay-cosmetics,Both,West Coast,Fernando Delgado,cosmetics pressed powder,100,Produces various compressed powder products,,,,,Yes
"Bare Escentuals, Inc.",San Francisco,CA,-5903,https://www.bareescentuals.com,https://linkedin.com/company/bare-escentuals,Both,West Coast,Fernando Delgado,cosmetics pressed powder,100,Known for pressed powder makeup products,,,,,Yes
Tarte Cosmetics,New York,NY,-4273,https://tartecosmetics.com,https://linkedin.com/company/tarte-cosmetics,Both,Northeast,Raffaele Romano,cosmetics pressed powder,100,Offers a range of pressed powder products,,,,,Yes
Anastasia Beverly Hills,Beverly Hills,CA,-4882,https://www.anastasiabeverlyhills.com,https://linkedin.com/company/anastasia-beverly-hills,Both,West Coast,Fernando Delgado,cosmetics pressed powder,100,Manufacturer of pressed powder cosmetics,,,,,Yes
Too Faced Cosmetics,Irvine,CA,-4943,https://www.toofaced.com,https://linkedin.com/company/too-faced-cosmetics,Both,West Coast,Fernando Delgado,cosmetics pressed powder,100,Produces a variety of pressed powder products,,,,,Yes
MAC Cosmetics,New York,NY,-1457,https://www.maccosmetics.com,https://linkedin.com/company/mac-cosmetics,Both,Northeast,Raffaele Romano,cosmetics pressed powder,100,Global cosmetics brand requiring tablet presses and formulation,,,,,Yes
e.l.f. Cosmetics,Oakland,CA,-9074,https://www.elfcosmetics.com,https://linkedin.com/company/elf-cosmetics,Both,West Coast,Fernando Delgado,cosmetics pressed powder,100,Manufacturer of affordable pressed powder cosmetics,,,,,Yes
Smashbox Cosmetics,Culver City,CA,-3011,https://www.smashbox.com,https://linkedin.com/company/smashbox-cosmetics,Both,West Coast,Fernando Delgado,cosmetics pressed powder,100,Cosmetics company specializing in pressed powders,,,,,Yes
NYX Professional Makeup,Los Angeles,CA,-4688,https://www.nyxcosmetics.com,https://linkedin.com/company/nyx-cosmetics,Both,West Coast,Fernando Delgado,cosmetics pressed powder,100,Offers a wide range of pressed powder products,,,,,Yes
Kylie Cosmetics,Los Angeles,CA,-9517,https://www.kyliecosmetics.com,https://linkedin.com/company/kylie-cosmetics,Both,West Coast,Fernando Delgado,cosmetics pressed powder,100,Produces popular pressed powder makeup products,,,,,Yes
Juvia's Place,Fairfield,NJ,-7215,https://www.juviasplace.com,https://linkedin.com/company/juvias-place,Both,Northeast,Raffaele Romano,cosmetics pressed powder,100,Known for its vibrant pressed powder palettes,,,,,Yes
ColourPop Cosmetics,Los Angeles,CA,-4420,https://www.colourpop.com,https://linkedin.com/company/colourpop-cosmetics,Both,West Coast,Fernando Delgado,cosmetics pressed powder,100,Manufacturer of affordable pressed powder cosmetics,,,,,Yes
Milani Cosmetics,Los Angeles,CA,-9656,https://www.milanicosmetics.com,https://linkedin.com/company/milani-cosmetics,Both,West Coast,Fernando Delgado,cosmetics pressed powder,100,Produces a range of pressed powder beauty products,,,,,Yes
BH Cosmetics,Burbank,CA,-6176,https://www.bhcosmetics.com,https://linkedin.com/company/bh-cosmetics,Both,West Coast,Fernando Delgado,cosmetics pressed powder,100,Offers a variety of pressed powder palettes,,,,,Yes
IT Cosmetics,Jersey City,NJ,-6275,https://www.itcosmetics.com,https://linkedin.com/company/it-cosmetics,Both,Northeast,Raffaele Romano,cosmetics pressed powder,100,Known for its innovative pressed powder makeup products,,,,,Yes
ICL Specialty Fertilizers,Summerville,SC,-7093,https://icl-sf.com,https://linkedin.com/company/icl-specialty-fertilizers,Engineering,Southeast,Danny Ambrose,agricultural fertilizer tablets,90,Produces controlled-release fertilizer tablets,,,,,
Jobe's Company,Waco,TX,-6359,https://jobescompany.com,https://linkedin.com/company/jobe-s-company,Engineering,Central,David Nelson,agricultural fertilizer tablets,90,Manufactures fertilizer spikes and tablets,,,,,
Scotts Miracle-Gro,Marysville,OH,-1591,https://scottsmiraclegro.com,https://linkedin.com/company/scotts-miracle-gro,Both,Central,David Nelson,agricultural fertilizer tablets,100,Produces a wide range of fertilizer products including tablets,,,,,
Florikan,Sarasota,FL,-9983,https://florikan.com,https://linkedin.com/company/florikan,Both,Southeast,Danny Ambrose,agricultural fertilizer tablets,100,Develops controlled-release fertilizers for agriculture,,,,,
BioGreen USA,Greensboro,NC,-993,https://biogreenusa.com,https://linkedin.com/company/biogreen-usa,Engineering,Southeast,Danny Ambrose,agricultural fertilizer tablets,90,Produces environmentally friendly fertilizer tablets,,,,,
"Andersons, Inc.",Maumee,OH,-6361,https://andersonsplantnutrient.com,https://linkedin.com/company/the-andersons-plant-nutrient-group,Both,Central,David Nelson,agricultural fertilizer tablets,100,Provides diverse plant nutrient solutions including tablets,,,,,
Gowan Company,Yuma,AZ,-10554,https://gowanco.com,https://linkedin.com/company/gowan-company,Scientific,Rocky Mountain,Eric Maughan,agricultural fertilizer tablets,90,Involved in agricultural research and development,,,,,
Growcentia,Fort Collins,CO,-5108,https://growcentia.com,https://linkedin.com/company/growcentia,Both,Rocky Mountain,Eric Maughan,agricultural fertilizer tablets,100,Develops biological fertilizers and soil amendments,,,,,
Hawthorne Gardening Company,Port Washington,NY,-8851,https://hawthorne-gardening.com,https://linkedin.com/company/hawthorne-gardening-co-,Both,Northeast,Raffaele Romano,agricultural fertilizer tablets,100,Specializes in hydroponic and organic gardening supplies,,,,,
Winfield United,Shoreview,MN,-7691,https://winfieldunited.com,https://linkedin.com/company/winfield-united,Scientific,Central,David Nelson,agricultural fertilizer tablets,90,Offers agronomic solutions and fertilizer products,,,,,
"GreenSoil, Inc.",Lawrence,KS,-6289,https://greensoil.com,,Engineering,Central,David Nelson,agricultural fertilizer tablets,85,Produces soil and fertilizer products,,,,,
Floraplex,Santa Ana,CA,-7031,https://floraplexterpenes.com,https://linkedin.com/company/floraplex-terpenes,Scientific,West Coast,Fernando Delgado,agricultural fertilizer tablets,90,Produces plant nutrient and additive products,,,,,
Nature Safe Fertilizers,Cold Spring,KY,-3980,https://naturesafe.com,https://linkedin.com/company/nature-safe-fertilizers,Both,Southeast,Danny Ambrose,agricultural fertilizer tablets,100,Produces organic fertilizers for agriculture,,,,,
Ferti Technologies,Austin,TX,-10811,https://fertitechusa.com,https://linkedin.com/company/ferti-technologies,Both,Central,David Nelson,agricultural fertilizer tablets,100,Specializes in fertilizer technologies and products,,,,,
The Espoma Company,Millville,NJ,-2222,https://espoma.com,https://linkedin.com/company/espoma,Both,Northeast,Raffaele Romano,agricultural fertilizer tablets,100,Produces organic and natural gardening products,,,,,
Helena Agri-Enterprises,Collierville,TN,-1711,https://helenaagri.com,https://linkedin.com/company/helena-agri-enterprises-llc,Both,Southeast,Danny Ambrose,agricultural fertilizer tablets,100,"Provides agricultural inputs, including fertilizers",,,,,
Agrium Advanced Technologies,Loveland,CO,-4954,https://nutrien.com,https://linkedin.com/company/nutrien,Both,Rocky Mountain,Eric Maughan,agricultural fertilizer tablets,100,Produces fertilizers and offers agricultural services,,,,,
Piramal Pharma Solutions,Lexington,KY,-8377,https://www.piramalpharmasolutions.com,https://linkedin.com/company/piramal-pharma-solutions,Both,Southeast,Danny Ambrose,pharmaceutical formulation development,100,Provides end-to-end pharmaceutical manufacturing and formulation services,,,,,Yes
Recro Gainesville,Gainesville,GA,-9542,https://www.recrocdmo.com,https://linkedin.com/company/recrocdmo,Both,Southeast,Danny Ambrose,pharmaceutical formulation development,100,Specializes in drug formulation and tablet manufacturing,,,,,Yes
Metrics Contract Services,Greenville,NC,-4803,https://www.metricscontractservices.com,https://linkedin.com/company/metrics-contract-services,Both,Southeast,Danny Ambrose,pharmaceutical formulation development,100,CDMO specializing in solid oral dosage forms,,,,,Yes
DPT Laboratories,San Antonio,TX,-8785,https://www.dptlabs.com,https://linkedin.com/company/dpt-laboratories,Both,Central,David Nelson,pharmaceutical formulation development,100,Specializes in semi-solid and liquid dosage forms including formulation development,,,,,Yes
Avista Pharma Solutions,Durham,NC,-5191,https://www.avistapharma.com,https://linkedin.com/company/avista-pharma-solutions,Both,Southeast,Danny Ambrose,pharmaceutical formulation development,100,"Offers comprehensive contract development, manufacturing, and testing services",,,,,Yes
Olon Ricerca Bioscience,Concord,OH,-4129,https://www.olonricerca.com,https://linkedin.com/company/olonricerca,Both,Central,David Nelson,pharmaceutical formulation development,100,Specializes in API and formulation development for pharmaceuticals,,,,,Yes
"Ash Stevens, LLC",Riverview,MI,-4385,https://www.ashstevens.com,https://linkedin.com/company/ash-stevens,Both,Central,David Nelson,pharmaceutical formulation development,100,Offers API development and manufacturing services,,,,,Yes
Xcelience,Tampa,FL,-1502,https://www.xcelience.com,https://linkedin.com/company/xcelience,Both,Southeast,Danny Ambrose,pharmaceutical formulation development,100,Specializes in formulation development and clinical trial manufacturing,,,,,Yes
Norwich Pharma Services,Norwich,NY,-3941,https://www.norwichpharma.com,https://linkedin.com/company/norwich-pharma-services,Both,Northeast,Raffaele Romano,pharmaceutical formulation development,100,CDMO providing comprehensive drug development and manufacturing services,,,,,Yes
Particle Testing Authority,Norcross,GA,-6971,https://particletesting.com,https://linkedin.com/company/particle-testing-authority,Scientific,Southeast,Danny Ambrose,powder flow testing laboratory,90,Provides powder characterization services crucial for tablet formulation,,,,,
Brookfield Engineering,Middleboro,MA,-7653,https://ametekbrookfield.com,https://linkedin.com/company/ametekbrookfield,Scientific,Northeast,Raffaele Romano,powder flow testing laboratory,90,Provides rheology and texture testing equipment for powders and tablets,,,,,
"Retsch, Inc.",Newtown,PA,-1380,https://retsch.com,https://linkedin.com/company/retsch-usa,Scientific,Northeast,Raffaele Romano,powder flow testing laboratory,90,Produces laboratory mills and particle analysis equipment for pharmaceutical powders,,,,,
"Q Laboratories, Inc.",Cincinnati,OH,-2283,https://qlaboratories.com,https://linkedin.com/company/q-laboratories,Scientific,Central,David Nelson,powder flow testing laboratory,90,Provides analytical testing services for pharmaceutical powders and tablets,,,,,
Particle Technology Labs,Downers Grove,IL,-4301,https://particletechlabs.com,https://linkedin.com/company/particle-technology-labs,Scientific,Central,David Nelson,powder flow testing laboratory,90,Specializes in particle characterization services relevant to tablet formulation,,,,,
"Merit Laboratories, Inc.",East Lansing,MI,-1015,https://meritlabs.com,,Scientific,Central,David Nelson,powder flow testing laboratory,85,Provides analytical testing services for pharmaceutical powders,,,,,
Pine Environmental Services,Windsor,NJ,-10763,https://pine-environmental.com,https://linkedin.com/company/pine-environmental-services-llc,Scientific,Northeast,Raffaele Romano,powder flow testing laboratory,90,Offers analytical instruments for powder and environmental testing,,,,,
EAG Laboratories,St. Louis,MO,-7224,https://eag.com,https://linkedin.com/company/eag-laboratories,Scientific,Central,David Nelson,powder flow testing laboratory,90,Provides material characterization services for pharmaceutical powders,,,,,
Acorda Therapeutics,Ardsley,NY,-5560,https://acorda.com,https://linkedin.com/company/acorda-therapeutics,Scientific,Northeast,Raffaele Romano,tablet scale up laboratory,90,Focuses on neurological therapies with potential tablet formulations,,,,,
Athenex Pharma Solutions,Clarence,NY,-4092,https://athenex.com,https://linkedin.com/company/athenex,Both,Northeast,Raffaele Romano,503b outsourcing facility,100,Athenex manufactures and develops formulations for oncology treatments,,,,,
Fagron Sterile Services US,Wichita,KS,-9347,https://fagronsterile.com,https://linkedin.com/company/fagron-us,Scientific,Central,David Nelson,503b outsourcing facility,90,Specializes in sterile compounding which requires precise formulation,,,,,
QuVa Pharma,Sugar Land,TX,-2100,https://quvapharma.com,https://linkedin.com/company/quva-pharma,Both,Central,David Nelson,503b outsourcing facility,100,QuVa focuses on sterile compounding and pharmaceutical manufacturing,,,,,
Central Admixture Pharmacy Services (CAPS),Lanham,MD,-762,https://capspharmacy.com,https://linkedin.com/company/capspharmacy,Scientific,Northeast,Raffaele Romano,503b outsourcing facility,90,Specializes in compounding services for hospitals and other facilities,,,,,
PharMEDium Services,Lake Forest,IL,-9071,https://pharmedium.com,https://linkedin.com/company/pharmedium-services,Scientific,Central,David Nelson,503b outsourcing facility,90,Provides outsourced compounded sterile preparations,,,,,
Edge Pharma,Colchester,VT,-2971,https://edgepharma.com,https://linkedin.com/company/edge-pharma,Scientific,Northeast,Raffaele Romano,503b outsourcing facility,90,Edge Pharma offers compounding services for sterile and non-sterile drugs,,,,,
Olympia Compounding Pharmacy,Orlando,FL,-3301,https://olympiapharmacy.com,https://linkedin.com/company/olympia-compounding-pharmacy,Scientific,Southeast,Danny Ambrose,503b outsourcing facility,90,Provides custom compounding for a variety of pharmaceutical needs,,,,,
Avella Specialty Pharmacy,Phoenix,AZ,-7201,https://avella.com,https://linkedin.com/company/avella-specialty-pharmacy,Scientific,Rocky Mountain,Eric Maughan,503b outsourcing facility,90,Provides specialty compounding services,,,,,
Triad Isotopes,Orlando,FL,-7561,https://triadisotopes.com,https://linkedin.com/company/triad-isotopes,Scientific,Southeast,Danny Ambrose,503b outsourcing facility,90,Provides radiopharmaceutical compounding services,,,,,
"CPS Solutions, LLC",Dublin,OH,-10830,https://cpspharm.com,https://linkedin.com/company/cps-solutions-llc,Scientific,Central,David Nelson,503b outsourcing facility,90,Provides pharmacy and compounding services to healthcare systems,,,,,
"Advanced Pharma, Inc.",Houston,TX,-1574,https://advancedpharmainc.com,https://linkedin.com/company/advanced-pharma-inc,Both,Central,David Nelson,503b outsourcing facility,100,Offers both sterile and non-sterile compounding services,,,,,
Pentec Health,Glen Mills,PA,-9803,https://pentechealth.com,https://linkedin.com/company/pentec-health,Scientific,Northeast,Raffaele Romano,503b outsourcing facility,90,Provides specialty compounding and infusion services,,,,,
US Compounding,Conway,AR,-5105,https://uscompounding.com,https://linkedin.com/company/us-compounding,Scientific,Central,David Nelson,503b outsourcing facility,90,Specializes in sterile and non-sterile compounding,,,,,
Ajinomoto Bio-Pharma Services,San Diego,CA,-8510,https://ajibio-pharma.com,https://linkedin.com/company/ajinomoto-bio-pharma,Both,West Coast,Fernando Delgado,clinical trial manufacturing,100,Provides a range of manufacturing services for pharmaceutical companies,,,,,
Velesco Pharma,Plymouth,MI,-1974,https://velescopharma.com,https://linkedin.com/company/velesco-pharma,Scientific,Central,David Nelson,clinical trial manufacturing,90,Focuses on formulation services for clinical trial materials,,,,,
Noramco,Wilmington,DE,-2593,https://noramco.com,https://linkedin.com/company/noramco,Both,Northeast,Raffaele Romano,clinical trial manufacturing,100,Develops and manufactures APIs for solid oral dosage forms,,,,,
Formex LLC,San Diego,CA,-4379,https://formexllc.com,https://linkedin.com/company/formex-llc,Both,West Coast,Fernando Delgado,bioavailability testing lab,100,Specializes in the development and manufacture of oral dosage forms,,,,,
Bend Research,Bend,OR,-5022,https://bendresearch.com,https://linkedin.com/company/bend-research,Scientific,West Coast,Fernando Delgado,bioavailability testing lab,90,Focuses on formulation and process development for tablets,,,,,
"Aurobindo Pharma USA, Inc.",East Windsor,NJ,-10970,https://aurobindousa.com,https://linkedin.com/company/aurobindo-pharma-usa,Both,Northeast,Raffaele Romano,antacid tablet manufacturing,100,Manufacturer of generic pharmaceuticals including antacids,,,,,
GlaxoSmithKline USA,Philadelphia,PA,-6961,https://us.gsk.com,https://linkedin.com/company/glaxosmithkline,Both,Northeast,Raffaele Romano,sleep aid tablet manufacturing,100,"GSK manufactures a range of pharmaceuticals, including sleep aids.",,,,,
"GNC Holdings, Inc.",Pittsburgh,PA,-6038,https://gnc.com,https://linkedin.com/company/gnc,Both,Northeast,Raffaele Romano,weight loss supplement tablets,100,GNC manufactures and formulates their own line of weight loss supplements.,,,,,Yes
NOW Foods,Bloomingdale,IL,-5219,https://nowfoods.com,https://linkedin.com/company/now-foods,Both,Central,David Nelson,weight loss supplement tablets,100,NOW Foods manufactures a wide range of dietary supplements including weight management tablets.,,,,,Yes
The Nature's Bounty Co.,Ronkonkoma,NY,-2830,https://naturesbountyco.com,https://linkedin.com/company/the-nature's-bounty-co,Both,Northeast,Raffaele Romano,weight loss supplement tablets,100,"They produce various dietary supplements and vitamins, including weight loss products.",,,,,Yes
Vital Nutrients,Middletown,CT,-11207,https://vitalnutrients.co,https://linkedin.com/company/vital-nutrients,Both,Northeast,Raffaele Romano,weight loss supplement tablets,100,They offer a wide range of supplements and have their own manufacturing operations.,,,,,Yes
"Nutrisystem, Inc.",Fort Washington,PA,-6867,https://nutrisystem.com,https://linkedin.com/company/nutrisystem,Both,Northeast,Raffaele Romano,weight loss supplement tablets,100,"Nutrisystem offers a variety of weight management products, including supplements.",,,,,Yes
"Metagenics, Inc.",Aliso Viejo,CA,-10891,https://metagenics.com,https://linkedin.com/company/metagenics,Both,West Coast,Fernando Delgado,weight loss supplement tablets,100,They manufacture and sell medical foods and nutritional supplements.,,,,,Yes
Bodybuilding.com,Boise,ID,-9518,https://bodybuilding.com,https://linkedin.com/company/bodybuilding-com,Both,Rocky Mountain,Eric Maughan,weight loss supplement tablets,100,"They offer a variety of supplements, including weight loss tablets, and have manufacturing capabilities.",,,,,Yes
Garden of Life,Palm Beach Gardens,FL,-1381,https://gardenoflife.com,https://linkedin.com/company/garden-of-life,Both,Southeast,Danny Ambrose,weight loss supplement tablets,100,They produce a variety of dietary supplements and have their own manufacturing facilities.,,,,,Yes
MegaFood,Manchester,NH,-4189,https://megafood.com,https://linkedin.com/company/megafood,Both,Northeast,Raffaele Romano,weight loss supplement tablets,100,MegaFood manufactures whole food supplements and has in-house production.,,,,,Yes
Nature Made,Northridge,CA,-3953,https://naturemade.com,https://linkedin.com/company/nature-made,Both,West Coast,Fernando Delgado,multivitamin tablet manufacturing,100,"Produces a variety of vitamins and supplements, requiring both formulation and tablet pressing capabilities.",,,,,Yes
The Vitamin Shoppe,Secaucus,NJ,-4525,https://vitaminshoppe.com,https://linkedin.com/company/the-vitamin-shoppe,Both,Northeast,Raffaele Romano,multivitamin tablet manufacturing,100,"Offers a wide range of dietary supplements including multivitamins, necessitating both formulation and tablet manufacturing.",,,,,Yes
Solgar Inc.,Leonia,NJ,-3455,https://solgar.com,https://linkedin.com/company/solgar,Both,Northeast,Raffaele Romano,multivitamin tablet manufacturing,100,"Produces nutritional supplements including multivitamins, necessitating both tablet press technology and formulation.",,,,,Yes
NutraScience Labs,Farmingdale,NY,-8734,https://nutrasciencelabs.com,https://linkedin.com/company/nutrascience-labs,Both,Northeast,Raffaele Romano,probiotic tablet manufacturing,100,Specializes in nutraceutical tablet and capsule production.,,,,,
Vitafusion,Ewing,NJ,-4271,https://vitafusion.com,https://linkedin.com/company/vitafusion,Both,Northeast,Raffaele Romano,probiotic tablet manufacturing,100,Produces a variety of vitamins and supplements in tablet form.,,,,,
Nature's Bounty,Ronkonkoma,NY,-4222,https://naturesbounty.com,https://linkedin.com/company/natures-bounty,Both,Northeast,Raffaele Romano,iron supplement tablets,100,"Produces a variety of vitamins and supplements, including iron",,,,,Yes
Vitabiotics USA,Atlanta,GA,-7657,https://vitabiotics.com,,Both,Southeast,Danny Ambrose,iron supplement tablets,95,Offers a range of dietary supplements including iron products,,,,,Yes
Douglas Laboratories,Pittsburgh,PA,-5484,https://douglaslabs.com,https://linkedin.com/company/douglas-laboratories,Both,Northeast,Raffaele Romano,iron supplement tablets,100,Specializes in nutritional supplements and vitamins,,,,,Yes
Natures Plus,Melville,NY,-10944,https://naturesplus.com,https://linkedin.com/company/naturesplus,Both,Northeast,Raffaele Romano,iron supplement tablets,100,Produces vitamins and nutritional supplements,,,,,Yes
"Rexall Sundown, Inc.",Boca Raton,FL,-2084,https://rexall.com,https://linkedin.com/company/rexall-sundown,Both,Southeast,Danny Ambrose,iron supplement tablets,100,Produces a variety of nutritional supplements,,,,,Yes
"21st Century HealthCare, Inc.",Tempe,AZ,-9646,https://21stcenturyvitamins.com,https://linkedin.com/company/21st-century-healthcare,Both,Rocky Mountain,Eric Maughan,iron supplement tablets,100,"Produces vitamins, minerals, and specialty supplements",,,,,Yes
Hasa Inc.,Saugus,CA,-6767,https://hasa.com,https://linkedin.com/company/hasa-inc,Engineering,West Coast,Fernando Delgado,water treatment tablets,90,Specializes in water treatment products including tablets,,,,,
Clearon Corp.,Charleston,WV,-4049,https://clearon.com,https://linkedin.com/company/clearon-corp,Both,Northeast,Raffaele Romano,water treatment tablets,100,Produces chlorine-based water treatment tablets,,,,,
Kuehne Company,South Kearny,NJ,-2261,https://kuehnecompany.com,,Engineering,Northeast,Raffaele Romano,water treatment tablets,85,Produces various water treatment chemicals including tablets,,,,,
"Axiall, a Westlake Company",Houston,TX,-10783,https://westlake.com,https://linkedin.com/company/westlake,Both,Central,David Nelson,water treatment tablets,100,Manufactures a range of water treatment products including tablets,,,,,
NC Brands L.P.,Norwalk,CT,-2797,https://naturalchemistry.com,https://linkedin.com/company/natural-chemistry,Scientific,Northeast,Raffaele Romano,water treatment tablets,90,Develops and distributes water treatment products,,,,,
"Haviland Enterprises, Inc.",Grand Rapids,MI,-7667,https://havilandusa.com,https://linkedin.com/company/haviland-enterprises-inc,Engineering,Central,David Nelson,water treatment tablets,90,Manufactures a variety of chemical products including water treatment tablets,,,,,
Solenis LLC,Wilmington,DE,-6507,https://solenis.com,https://linkedin.com/company/solenis,Both,Northeast,Raffaele Romano,water treatment tablets,100,Provides chemical solutions for water treatment needs,,,,,
"Arch Chemicals, Inc.",Norwalk,CT,-3331,https://archchemicals.com,,Both,Northeast,Raffaele Romano,water treatment tablets,95,Specializes in water treatment products including tablets,,,,,
Robarb,Rock Hill,SC,-2904,https://robarb.com,https://linkedin.com/company/robarb-pool--spa-products,Engineering,Southeast,Danny Ambrose,water treatment tablets,90,Manufactures pool and spa water treatment products,,,,,
PuriChem,Phoenix,AZ,-7558,https://purichem.com,,Scientific,Rocky Mountain,Eric Maughan,water treatment tablets,85,Develops chemical formulations for water treatment,,,,,
