company,city,state,phone,website,linkedin,division,territory,region,salesRep,industry,confidence,reason,aiDecision,aiCompression,aiDivision,aiConfidence,pressureSignals,competitors,aiSummary,gmpLikely,fdaLikely
Hillyard,St. Joseph,MO,,https://hillyard.com,https://linkedin.com/company/hillyard-inc,Both,Central,Domestic,David Nelson,drain cleaner tablets,100,Produces cleaning and maintenance solutions,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in Hillyard's drain cleaner tablets to enhance product consistency and performance.,,
Himalaya Drug Company,Sugar Land,TX,,https://himalayausa.com,https://linkedin.com/company/himalaya-usa,Both,Central,Domestic,David Nelson,joint health tablets,100,Produces herbal supplements and health products,MONITOR,medium,Both,75,low pressure; medium pressure,Fette; Korsch,"There is a moderate opportunity for improving tablet compression in joint health tablets, with some risks to monitor.",,
Honeywell UOP,Des Plaines,IL,,https://uop.honeywell.com,https://linkedin.com/company/honeywell,Both,Central,Domestic,David Nelson,catalyst pellet manufacturing,100,"Provider of catalyst and adsorbent technologies, requiring both R&D and manufacturing capabilities",MONITOR,medium,Both,75,inconsistent tablet density; high wear on tooling; increased cycle time,Fette; Korsch,There is a medium opportunity for improving tablet compression processes in catalyst pellet manufacturing.,,
ICL Specialty Fertilizers,Dublin,OH,,https://icl-sf.com,https://linkedin.com/company/icl-group,Both,Central,Domestic,David Nelson,agricultural fertilizer tablets,100,Specializes in controlled-release fertilizers which may involve pellet or tablet forms.,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression in the production of controlled-release fertilizer tablets.,,
INEOS Olefins & Polymers USA,League City,TX,,https://ineos.com,https://linkedin.com/company/ineos,Both,Central,Domestic,David Nelson,catalyst pellet manufacturing,100,"Produces a range of chemical products, including catalysts",MONITOR,medium,Engineering,75,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression processes in catalyst pellet manufacturing.,,
IT Cosmetics,Jersey City,NJ,,https://www.itcosmetics.com,https://linkedin.com/company/it-cosmetics,Both,Northeast,Domestic,Raffaele Romano,cosmetics pressed powder,100,"Offers a wide range of beauty products, including pressed powders",MONITOR,medium,Both,75,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression in pressed powders with potential risks that need monitoring.,,
Impax Laboratories,Hayward,CA,,https://impaxlabs.com,https://linkedin.com/company/impax-laboratories-inc,Both,West Coast,Domestic,Fernando Delgado,sleep aid tablet manufacturing,100,Produces a variety of generic drugs including sleep aids,ENGAGE,medium,Both,80,high pressure; medium pressure,Fette; Korsch,Impax Laboratories has a medium opportunity for optimizing tablet compression in their sleep aid manufacturing process.,,
ImprimisRx,San Diego,CA,,https://imprimisrx.com,https://linkedin.com/company/imprimisrx,Both,West Coast,Domestic,Fernando Delgado,503b outsourcing facility,100,Specializes in ophthalmic formulations and sterile compounding,DEPRIORITIZE,none,None,70,,,"ImprimisRx focuses on ophthalmic formulations and sterile compounding, presenting no immediate tablet compression opportunities.",,
In Clover,Boulder,CO,,https://inclover.com,https://linkedin.com/company/in-clover,Both,Rocky Mountain,Domestic,Eric Maughan,pet vitamin supplements,100,Develops scientifically formulated pet supplements,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,"There is a medium opportunity for tablet compression in Clover's pet vitamin supplements, with potential risks to monitor.",,
Innova Solutions,Santa Ana,CA,,https://innovasol.com,https://linkedin.com/company/innova-solutions,Both,West Coast,Domestic,Fernando Delgado,water treatment tablets,100,Provides innovative solutions for chemical formulation and manufacturing,ENGAGE,medium,Both,80,low pressure; high pressure,Fette; Korsch,Innova Solutions presents a medium opportunity for tablet compression improvements in water treatment tablets.,,
Integrity Nutraceuticals,Sarasota,FL,,https://integritynut.com,https://linkedin.com/company/integrity-nutraceuticals,Both,Southeast,Domestic,Danny Ambrose,dietary supplement tablets,100,Provides manufacturing and formulation services.,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,"Integrity Nutraceuticals has a medium opportunity for tablet compression improvements, particularly in managing pressure and risks associated with tablet quality.",,
J.R. Simplot Company,Boise,ID,,https://simplot.com,https://linkedin.com/company/simplot,Both,Rocky Mountain,Domestic,Eric Maughan,agricultural fertilizer tablets,100,"Provides a variety of plant fertilizers, potentially using tablet or pellet technologies.",EDUCATE,medium,Both,75,low pressure; medium pressure,Fette; Korsch,"There is a medium opportunity for J.R. Simplot Company to explore tablet compression technologies for agricultural fertilizers, with potential risks to product integrity.",,
JBS United,Sheridan,IN,,https://www.jbsunited.com,https://linkedin.com/company/jbs-united,Both,Central,Domestic,David Nelson,animal feed supplements,100,"Engages in animal feed production, requiring both formulation and tablet production.",ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression improvements in animal feed supplement production.,,
JR Peters,Allentown,PA,,https://jrpeters.com,https://linkedin.com/company/jr-peters-inc-,Both,Northeast,Domestic,Raffaele Romano,plant food tablets,100,Specializes in water-soluble and controlled-release fertilizers,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in JR Peters Inc.'s plant food tablets to enhance product performance.,,
Jamieson Wellness,Windsor,CT,,https://www.jamiesonwellness.com,https://linkedin.com/company/jamieson-wellness,Both,Northeast,Domestic,Raffaele Romano,multivitamin tablet manufacturing,100,Manufactures and distributes vitamins and supplements,ENGAGE,medium,Both,80,high pressure; medium pressure; low pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in multivitamin manufacturing at Jamieson Wellness.,,
Jushi Holdings,Boca Raton,FL,,https://jushico.com,https://linkedin.com/company/jushi-holdings-inc-,Both,Southeast,Domestic,Danny Ambrose,cannabis tablet manufacturing,100,Manufactures cannabis tablets and offers formulation services,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Jushi Holdings has a medium opportunity for improving tablet compression processes in cannabis tablet manufacturing.,,
Kaged Muscle,Huntington Beach,CA,,https://www.kagedmuscle.com,https://linkedin.com/company/kaged-muscle,Both,West Coast,Domestic,Fernando Delgado,protein supplement tablets,100,Specializes in premium sports nutrition including tablets,ENGAGE,medium,Both,80,high tablet density; inconsistent tablet weight; tablet breakage during handling,Fette; Korsch,Kaged Muscle has a medium opportunity for tablet compression improvements to enhance product quality and reduce production risks.,,
Kalmbach Feeds,Upper Sandusky,OH,,https://www.kalmbachfeeds.com,https://linkedin.com/company/kalmbach-feeds-inc-,Both,Central,Domestic,David Nelson,animal feed supplements,100,"Produces animal nutrition products, needing tablet manufacturing capabilities.",ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,"Kalmbach Feeds has a medium opportunity for tablet compression in their animal nutrition products, warranting engagement for manufacturing capabilities.",,
Kao USA,Cincinnati,OH,,https://kao.com/us/en/,https://linkedin.com/company/kao,Both,Central,Domestic,David Nelson,dishwasher tablet manufacturing,100,"Produces consumer cleaning products, including tablet forms",MONITOR,medium,Both,75,low pressure; medium pressure; high pressure,Fette; Korsch,Kao USA Inc. has a medium opportunity for improving tablet compression in their dishwasher tablet manufacturing.,,
Kemira Chemicals,Atlanta,GA,,https://kemira.com,https://linkedin.com/company/kemira,Both,Southeast,Domestic,Danny Ambrose,water treatment tablets,100,Specializes in water chemistry and treatment solutions,MONITOR,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Kemira Chemicals has a medium opportunity for tablet compression improvements in their water treatment tablets.,,
LSNE Contract Manufacturing,Bedford,NH,,https://lsne.com,https://linkedin.com/company/lsne-contract-manufacturing,Both,Northeast,Domestic,Raffaele Romano,clinical trial manufacturing,100,Provides contract manufacturing services including lyophilization and tablet manufacturing,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression improvements in clinical trial manufacturing at LSNE.,,
Leafline Labs,Cottage Grove,MN,,https://leaflinelabs.com,https://linkedin.com/company/leaflinelabs,Both,Central,Domestic,David Nelson,cbd tablet manufacturing,100,Produces medical cannabis products including tablets.,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Leafline Labs has a medium opportunity for optimizing tablet compression in their CBD tablet manufacturing process.,,
Leslie's Poolmart,Phoenix,AZ,,https://lesliespool.com,https://linkedin.com/company/leslies-poolmart,Both,Rocky Mountain,Domestic,Eric Maughan,pool chlorine tablet manufacturing,100,Retailer and supplier of pool and spa care products,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in pool chlorine tablet manufacturing.,,
Liberty Health Sciences,Gainesville,FL,,https://libertyhealthsciences.com,https://linkedin.com/company/liberty-health-sciences,Both,Southeast,Domestic,Danny Ambrose,cannabis tablet manufacturing,100,Engages in the production of cannabis tablets,ENGAGE,medium,Both,80,low pressure; high pressure,Fette; Korsch,Liberty Health Sciences has a medium opportunity for improving tablet compression processes in cannabis tablet manufacturing.,,
Lockheed Martin Space,Littleton,CO,,https://lockheedmartin.com,https://linkedin.com/company/lockheedmartin,Both,Rocky Mountain,Domestic,Eric Maughan,space materials manufacturing,100,"Engages in manufacturing and R&D for aerospace applications, needing advanced tooling.",ENGAGE,medium,Both,85,high pressure signals; medium pressure signals,Fette; Korsch,Lockheed Martin Space presents a medium opportunity for tablet compression improvements in aerospace materials manufacturing.,,
Loving Pets,Cranbury,NJ,,https://www.lovingpetsproducts.com,https://linkedin.com/company/loving-pets,Both,Northeast,Domestic,Raffaele Romano,pet dental chew tablets,100,"Manufactures pet treats including dental chews, needing advanced formulation and manufacturing technologies.",ENGAGE,medium,Both,80,inconsistent tablet hardness; variability in chewability; moisture content fluctuations,Fette; Korsch,There is a medium opportunity for improving tablet compression in pet dental chews to enhance product quality and reduce risks.,,
LyondellBasell Industries,Houston,TX,,https://lyondellbasell.com,https://linkedin.com/company/lyondellbasell,Both,Central,Domestic,David Nelson,catalyst pellet manufacturing,100,"Engages in chemical production, including catalysts",MONITOR,medium,Engineering,75,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression in catalyst pellet manufacturing with associated risks that require monitoring.,,
MGK Company,Minneapolis,MN,,https://www.mgk.com,https://linkedin.com/company/mgk,Both,Central,Domestic,David Nelson,pest control tablets,100,"Develops insect control products, including tablet formulations",ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in pest control formulations with manageable risks.,,
MWI Animal Health,Boise,ID,,https://www.mwiah.com,https://linkedin.com/company/mwi-animal-health,Both,Rocky Mountain,Domestic,Eric Maughan,veterinary tablet manufacturing,100,Distributor with private label veterinary products including tablets,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in veterinary tablet manufacturing with potential risks to monitor.,,
Mars Petcare US,Franklin,TN,,https://www.mars.com/made-by-mars/petcare,https://linkedin.com/company/mars-petcare-us,Both,Southeast,Domestic,Danny Ambrose,pet dental chew tablets,100,They produce a variety of pet products including dental chews that require precise formulation and manufacturing processes.,ENGAGE,medium,Both,85,high pressure during compression; inconsistent tablet density,Fette; Korsch,There is a medium opportunity for improving tablet compression processes in pet dental chew tablet production.,,
MedPharm Group,Durham,NC,,https://medpharm.com,https://linkedin.com/company/medpharm,Both,Southeast,Domestic,Danny Ambrose,cbd tablet manufacturing,100,They provide formulation and manufacturing services for solid dosage forms including tablets.,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression processes in CBD tablet manufacturing.,,
MediPharm Labs,Los Angeles,CA,,https://medipharmlabs.com,https://linkedin.com/company/medipharmlabs,Both,West Coast,Domestic,Fernando Delgado,cbd tablet manufacturing,100,They have manufacturing capabilities for various cannabis dosage forms.,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,MediPharm Labs has a medium opportunity for tablet compression improvements in their CBD tablet manufacturing process.,,
Medterra CBD,Irvine,CA,,https://medterracbd.com,https://linkedin.com/company/medterra-cbd,Both,West Coast,Domestic,Fernando Delgado,cbd tablet manufacturing,100,Produces a range of CBD products including tablets and capsules.,ENGAGE,medium,Both,85,low pressure; medium pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in Medterra's CBD tablet manufacturing process.,,
Merial,Duluth,GA,,https://www.merial.com,https://linkedin.com/company/merial,Both,Southeast,Domestic,Danny Ambrose,veterinary tablet manufacturing,100,Specializes in animal health products including tablets,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,"Merial, Inc. has a medium opportunity for improving tablet compression processes in veterinary tablet manufacturing.",,
Merrick Pet Care,Amarillo,TX,,https://merrickpetcare.com,https://linkedin.com/company/merrick-pet-care,Both,Central,Domestic,David Nelson,pet vitamin supplements,100,"Produces pet food and supplements, requiring tablet manufacturing",ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,Merrick Pet Care presents a medium opportunity for tablet compression improvements in their pet vitamin supplements.,,
Metagenics,Aliso Viejo,CA,,https://metagenics.com,https://linkedin.com/company/metagenics,Both,West Coast,Domestic,Fernando Delgado,weight loss supplement tablets,100,"Manufactures nutritional supplements, including tablets, for health and wellness",ENGAGE,medium,Both,85,high pressure; medium pressure,Fette; Korsch,"There is a medium opportunity for improving tablet compression in weight loss supplement tablets at Metagenics, Inc.",,
Metrics Contract Services,Greenville,NC,,https://metricscontractservices.com,https://linkedin.com/company/metrics-contract-services,Both,Southeast,Domestic,Danny Ambrose,cdmo tablet manufacturing,100,Specializes in the development and manufacturing of tablets,ENGAGE,high,Both,85,high pressure; medium pressure; low pressure,Fette; Korsch,Metrics Contract Services presents a strong opportunity for high compression tablet manufacturing with manageable risks.,,
Microvast,Stafford,TX,,https://microvast.com,https://linkedin.com/company/microvast,Both,Central,Domestic,David Nelson,battery cathode manufacturing,100,Develops and manufactures battery systems,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in battery cathode manufacturing.,,
Midwest Veterinary Supply,Lakeville,MN,,https://midwestvet.net,https://linkedin.com/company/midwest-veterinary-supply-inc,Both,Central,Domestic,David Nelson,pet flea tick tablets,100,The company distributes veterinary products including flea and tick prevention tablets.,MONITOR,medium,Both,75,low pressure; medium pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in flea and tick prevention tablets with associated risks that need monitoring.,,
Moderna,Cambridge,MA,,https://modernatx.com,https://linkedin.com/company/moderna,Both,Northeast,Domestic,Raffaele Romano,pharmaceutical analytical development,100,Biotech company with a focus on innovative pharmaceuticals.,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Moderna presents a medium opportunity for tablet compression improvements due to its focus on innovative pharmaceuticals.,,
Motomco,Madison,WI,,https://www.motomco.com,https://linkedin.com/company/motomco,Both,Central,Domestic,David Nelson,pest control tablets,100,"Manufactures rodent control tablets, necessitating both engineering and scientific solutions",ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,"Motomco Ltd. presents a medium opportunity for tablet compression improvements, requiring both engineering and scientific approaches.",,
MuscleTech,Oakville,CA,,https://muscletech.com,https://linkedin.com/company/muscletech,Both,West Coast,Domestic,Fernando Delgado,creatine tablets,100,"Offers a wide range of performance supplements, including creatine",MONITOR,medium,Both,85,high pressure; medium pressure,Fette; Korsch,"There is a medium opportunity for tablet compression in MuscleTech's creatine tablets, with potential risks that need monitoring.",,
NBTY,Ronkonkoma,NY,,https://www.nbty.com,https://linkedin.com/company/nbty,Both,Northeast,Domestic,Raffaele Romano,nutraceutical tablet manufacturing,100,"Specializes in vitamin and supplement manufacturing, requiring tablet presses and formulations",ENGAGE,medium,Both,85,low pressure; optimal pressure; high pressure,Fette; Korsch,"NBTY, Inc. presents a medium opportunity for tablet compression improvements in their nutraceutical manufacturing process.",,
Natron Energy,Santa Clara,CA,,https://natron.energy,https://linkedin.com/company/natron-energy,Both,West Coast,Domestic,Fernando Delgado,sodium ion battery manufacturing,100,Produces sodium-ion batteries with potential needs for tablet pressing.,EDUCATE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,"There is a medium opportunity for tablet compression in sodium-ion battery manufacturing, requiring education on best practices.",,
NaturVet,Temecula,CA,,https://naturvet.com,https://linkedin.com/company/naturvet,Both,West Coast,Domestic,Fernando Delgado,pet vitamin supplements,100,"Manufactures supplements for pets, involving tablet pressing and formulation",ENGAGE,medium,Both,85,low pressure; optimal pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression processes in pet vitamin supplement manufacturing.,,
Nature's Logic,Lincoln,NE,,https://www.natureslogic.com,https://linkedin.com/company/natures-logic,Both,Central,Domestic,David Nelson,pet joint health tablets,100,"Produces natural pet foods and supplements, necessitating robust manufacturing processes.",ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression processes in the production of pet joint health tablets.,,
Nature's Variety,St. Louis,MO,,https://www.instinctpetfood.com,https://linkedin.com/company/nature's-variety,Both,Central,Domestic,David Nelson,pet dental chew tablets,100,"Produces a variety of pet foods and treats including dental chews, requiring engineering and formulation expertise.",ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,"There is a medium opportunity for improving tablet compression in pet dental chew tablets, requiring both engineering and formulation expertise.",,
Neptune Wellness Solutions,Jupiter,FL,,https://neptunecorp.com,https://linkedin.com/company/neptune-wellness-solutions,Both,Southeast,Domestic,Danny Ambrose,gummy vitamin alternatives,100,Provides turnkey solutions for gummy vitamins,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in the gummy vitamin sector.,,
Nestle Purina PetCare,St. Louis,MO,,https://www.purina.com,https://linkedin.com/company/nestle-purina,Both,Central,Domestic,David Nelson,pet probiotic supplements,100,Produces pet supplements and may require tablet presses for production,ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,Nestle Purina PetCare presents a medium opportunity for tablet compression in pet probiotic supplements.,,
Norwich Pharma Services,North Norwich,NY,,https://norwichpharma.com,https://linkedin.com/company/norwich-pharma-services,Both,Northeast,Domestic,Raffaele Romano,pharmaceutical formulation development,100,Provides contract development and manufacturing services,ENGAGE,medium,Both,80,high pressure; medium pressure,Fette; Korsch,Norwich Pharma Services presents a medium opportunity for tablet compression improvements in their contract manufacturing processes.,,
Novitium Pharma,East Windsor,NJ,,https://novitiumpharma.com,https://linkedin.com/company/novitium-pharma,Both,Northeast,Domestic,Raffaele Romano,store brand otc tablets,100,Specializes in development and manufacture of generic pharmaceuticals,ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,"Novitium Pharma LLC has a medium opportunity for tablet compression improvements, particularly in managing pressure and associated risks.",,
Nulo Pet Food,Austin,TX,,https://www.nulo.com,https://linkedin.com/company/nulo-pet-food,Both,Central,Domestic,David Nelson,pet joint health tablets,100,"Offers pet health products including joint supplements, requiring both engineering and scientific support.",ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,"There is a medium opportunity for tablet compression in Nulo Pet Food's joint health tablets, requiring both engineering and scientific support.",,
Nutrabolt,Bryan,TX,,https://nutrabolt.com,https://linkedin.com/company/nutrabolt,Both,Central,Domestic,David Nelson,electrolyte tablets,100,Produces a variety of nutritional and electrolyte supplements,ENGAGE,medium,Both,80,high pressure; medium pressure,Fette; Korsch,"Nutrabolt has a medium opportunity for improving tablet compression in their electrolyte tablets, with potential risks that need to be managed.",,
Nutracap Labs,Norcross,GA,,https://www.nutracapusa.com,https://linkedin.com/company/nutracap-labs,Both,Southeast,Domestic,Danny Ambrose,probiotic tablet manufacturing,100,Offers supplement manufacturing services including tablets,ENGAGE,medium,Both,80,high pressure; medium pressure,Fette; Korsch,Nutracap Labs presents a medium opportunity for tablet compression improvements in probiotic manufacturing.,,
Nutri-Vet Wellness,Boise,ID,,https://nutri-vet.com,https://linkedin.com/company/nutri-vet-wellness,Both,Rocky Mountain,Domestic,Eric Maughan,vitamin tablet manufacturing,100,Produces pet nutritional supplements including vitamins,ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for optimizing tablet compression in the production of Nutri-Vet Wellness vitamin tablets.,,
Nutricap Labs,Farmingdale,NY,,https://nutricaplabs.com,https://linkedin.com/company/nutricap-labs,Both,Northeast,Domestic,Raffaele Romano,vitamin tablet manufacturing,100,Provides contract manufacturing services for dietary supplements,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Nutricap Labs has a medium opportunity for improving tablet compression processes in vitamin tablet manufacturing.,,
Nutrish,Pittsburgh,PA,,https://nutrish.com,https://linkedin.com/company/nutrish,Both,Northeast,Domestic,Raffaele Romano,pet dental chew tablets,100,"Produces pet food and snacks, including dental chews, requiring both engineering and scientific expertise.",ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,"There is a medium opportunity for improving tablet compression in pet dental chew production, requiring both engineering and scientific approaches.",,
Nutritional Frontiers,Pittsburgh,PA,,https://nutritionalfrontiers.com,https://linkedin.com/company/nutritional-frontiers,Both,Northeast,Domestic,Raffaele Romano,keto supplement tablets,100,"Produces a wide range of dietary supplements, including tablets.",ENGAGE,medium,Both,80,low pressure; medium pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in Nutritional Frontiers' keto supplement tablets.,,
Nutritional Manufacturing Services,Tempe,AZ,,https://www.nutritionalmfg.com,https://linkedin.com/company/nutritional-manufacturing-services,Both,Rocky Mountain,Domestic,Eric Maughan,private label supplements,100,Manufactures tablets and other dietary supplement forms for private labels,ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression processes in private label supplement manufacturing.,,
Nuun and Company,Seattle,WA,,https://nuunlife.com,https://linkedin.com/company/nuun,Both,West Coast,Domestic,Fernando Delgado,electrolyte tablets,100,Focuses on electrolyte tablet manufacturing,ENGAGE,high,Both,85,high pressure signals detected during compression trials,Fette; Korsch,Nuun and Company presents a high opportunity for optimizing tablet compression processes to enhance product quality.,,
Onnit Labs,Austin,TX,,https://onnit.com,https://linkedin.com/company/onnit,Both,Central,Domestic,David Nelson,nootropic tablet manufacturing,100,Produces nootropic supplements and requires tablet presses and formulation services.,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Onnit Labs presents a medium opportunity for tablet compression improvements in nootropic supplement manufacturing.,,
Osmo Nutrition,Muir Beach,CA,,https://osmonutrition.com,https://linkedin.com/company/osmo-nutrition,Both,West Coast,Domestic,Fernando Delgado,electrolyte tablets,100,Specializes in hydration products including tablets,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in Osmo Nutrition's electrolyte tablets to enhance product consistency and performance.,,
Our Next Energy,Novi,MI,,https://one.ai,https://linkedin.com/company/our-next-energy,Both,Central,Domestic,David Nelson,sodium ion battery manufacturing,100,Develops innovative battery solutions with potential need for Natoli's dual expertise.,EDUCATE,none,Both,70,,,"There is potential for collaboration with Our Next Energy in battery manufacturing, but no immediate tablet compression opportunities identified.",,
PCCA (Professional Compounding Centers of America),Houston,TX,,https://pccarx.com,https://linkedin.com/company/pcca,Both,Central,Domestic,David Nelson,503a compounding pharmacy,100,Specializes in compounding pharmacy solutions and R&D,EDUCATE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,PCCA presents a medium opportunity for tablet compression improvements through education on best practices.,,
Pacific Scientific Energetic Materials Company,Chandler,AZ,,https://www.psemc.com,https://linkedin.com/company/pacific-scientific-energetic-materials-company,Both,Rocky Mountain,Domestic,Eric Maughan,explosives propellant manufacturing,100,"Specializes in energetic materials, needing both engineering and scientific capabilities.",ENGAGE,medium,Both,85,high pressure signals; medium pressure signals,Fette; Korsch,"There is a medium opportunity for tablet compression in the explosives propellant manufacturing sector, requiring both engineering and scientific expertise.",,
Pet Releaf,Littleton,CO,,https://petreleaf.com,https://linkedin.com/company/pet-releaf,Both,Rocky Mountain,Domestic,Eric Maughan,pet calming tablets,100,Manufactures CBD-based calming supplements for pets,ENGAGE,medium,Both,80,low pressure; medium pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in Pet Releaf's calming tablets to enhance consistency and quality.,,
PetAg,Hampshire,IL,,https://petag.com,https://linkedin.com/company/petag-inc,Both,Central,Domestic,David Nelson,pet vitamin supplements,100,"Offers a variety of pet supplements, needing formulation and tablet production capabilities",ENGAGE,medium,Both,80,low pressure; medium pressure,Fette; Korsch,"PetAg, Inc. presents a medium opportunity for tablet compression in pet vitamin supplements, requiring attention to formulation and production capabilities.",,
PetDine,Fort Collins,CO,,https://petdinellc.com,https://linkedin.com/company/petdinellc,Both,Rocky Mountain,Domestic,Eric Maughan,pet dental chew tablets,100,"Provides private label manufacturing for pet supplements including dental chews, needing precise formulation and engineering.",ENGAGE,high,Both,85,high compression force required for tablet integrity; variability in raw material density,Fette; Korsch,There is a high opportunity for tablet compression optimization in the manufacturing of pet dental chew tablets.,,
PetEdge,Beverly,MA,,https://petedge.com,https://linkedin.com/company/petedge,Both,Northeast,Domestic,Raffaele Romano,pet flea tick tablets,100,"PetEdge offers pet care products, including flea and tick tablets.",DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified for PetEdge's flea and tick tablets.,,
PetHonesty,Austin,TX,,https://pethonesty.com,https://linkedin.com/company/pethonesty,Both,Central,Domestic,David Nelson,pet vitamin supplements,100,"Manufacturer of pet supplements, including chews and tablets",ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression processes in pet vitamin supplements.,,
Petlab,New York,NY,,https://thepetlabco.com,https://linkedin.com/company/petlab-co,Both,Northeast,Domestic,Raffaele Romano,pet calming tablets,100,Provides a variety of pet health products including calming aids,MONITOR,medium,Both,75,low pressure; medium pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in pet calming tablets with associated risks of breakage and dosage inconsistency.,,
PharMEDium Services,Lake Forest,IL,,https://pharmedium.com,https://linkedin.com/company/pharmedium-services,Both,Central,Domestic,David Nelson,503a compounding pharmacy,100,Nationwide provider of outsourced compounded sterile preparations,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified for PharMEDium Services.,,
PharmaCord,Louisville,KY,,https://pharmacord.com,https://linkedin.com/company/pharmacord,Both,Southeast,Domestic,Danny Ambrose,503b outsourcing facility,100,Supports specialty drug programs with potential need for formulation services,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression in the specialty drug programs supported by PharmaCord's 503b outsourcing facility.,,
Pharmachem Laboratories,Kearny,NJ,,https://www.pharmachemlabs.com,https://linkedin.com/company/pharmachem-laboratories,Both,Northeast,Domestic,Raffaele Romano,nutraceutical tablet manufacturing,100,Offers custom manufacturing and formulation services for nutraceuticals,ENGAGE,medium,Both,80,low pressure; high pressure,Fette; Korsch,Pharmachem Laboratories has a medium opportunity for tablet compression improvements in their nutraceutical manufacturing process.,,
Piezo Technologies,Indianapolis,IN,,https://piezotechnologies.com,https://linkedin.com/company/piezo-technologies,Both,Central,Domestic,David Nelson,piezoelectric ceramics,100,Innovates piezoelectric solutions for various industries,DEPRIORITIZE,none,None,70,,,No immediate tablet compression opportunities identified with Piezo Technologies.,,
Proso,Lawrence,KS,,https://prosoco.com,https://linkedin.com/company/prosoco,Both,Central,Domestic,David Nelson,concrete cleaner tablets,100,Offers cleaning products for concrete and masonry,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified for Prosoco's concrete cleaner tablets.,,
