Company,Website,Phone,City,State,Confidence,Natoli_Angle,Press_OEM,Probable_Defects,Production_Stage,Tooling_Class
"Bare Escentuals, Inc.",https://www.bareescentuals.com,800-329-7790,San Francisco,CA,High,Discussing tooling solutions for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,B
Tarte Cosmetics,https://www.tartecosmetics.com,877-489-4278,New York,NY,High,Discussing solutions for weight consistency and capping issues.,Fette,"weight variation, capping, sticking",Commercial,D
Anastasia Beverly Hills,https://www.anastasiabeverlyhills.com,888-407-1007,Los Angeles,CA,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Too Faced Cosmetics,https://www.toofaced.com,844-TOO-FACED,Los Angeles,CA,High,Discussing tooling options for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
MAC Cosmetics,https://www.maccosmetics.com,1-800-588-0070,New York,NY,High,Discussing tooling options for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
e.l.f. Cosmetics,https://www.elfcosmetics.com,1-800-231-2323,Oakland,CA,Medium,Discussing tooling options for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Smashbox Cosmetics,https://www.smashbox.com,1-800-762-7568,Los Angeles,CA,Medium,Discussing tooling options for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
NYX Professional Makeup,https://www.nyxcosmetics.com,1-844-335-3510,Los Angeles,CA,Medium,Discussing tooling options for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Kylie Cosmetics,https://www.kyliecosmetics.com,1-844-529-4537,Calabasas,CA,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Juvia's Place,https://www.juviasplace.com,888-505-2025,Los Angeles,CA,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
ColourPop Cosmetics,https://colourpop.com,844-202-2020,Los Angeles,CA,High,Discussing tooling solutions for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Milani Cosmetics,https://www.milanicosmetics.com,800-322-1000,Los Angeles,CA,Medium,Discussing tooling options for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
BH Cosmetics,https://www.bhcosmetics.com,800-757-8702,Los Angeles,CA,Medium,Discussing tooling options for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,B
IT Cosmetics,https://www.itcosmetics.com,800-356-5120,New York,NY,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
ICL Specialty Fertilizers,https://www.icl-sf.com,800-492-8255,St. Louis,MO,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Jobe's Company,https://www.jobescompany.com,800-327-7077,Jacksonville,FL,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Scotts Miracle-Gro,https://www.scottsmiraclegro.com,800-225-2883,Marysville,OH,High,Discussing tooling options for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
Florikan,https://www.florikan.com,800-432-4302,Sarasota,FL,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
BioGreen USA,https://www.biogreen.com,888-424-6465,Henderson,NV,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"Andersons, Inc.",https://www.andersonsinc.com,419-891-1300,Maumee,OH,High,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
Gowan Company,https://www.gowancompany.com,928-783-8844,Yuma,AZ,High,Discussing tooling solutions for consistent weight control.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Growcentia,https://www.growcentia.com,970-484-5000,Fort Collins,CO,Medium,Discussing tooling options for scale-up efficiency.,Fette,"weight variation, capping, sticking",Scale-up,D
Hawthorne Gardening Company,https://www.hawthorne-gardening.com,503-305-0000,Portland,OR,Medium,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
Winfield United,https://www.winfieldunited.com,952-346-8000,Shakopee,MN,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
"GreenSoil, Inc.",http://www.greensoil.com,555-123-4567,New York,NY,Medium,Discussing tooling options for scale-up efficiency.,Fette,"weight variation, capping, sticking",Scale-up,D
Floraplex,http://www.floraplex.com,555-234-5678,Lansing,MI,Medium,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
Nature Safe Fertilizers,http://www.naturesafe.com,555-345-6789,Harrison,OH,Medium,Discussing solutions for weight consistency and defect reduction.,Fette,"weight variation, capping, sticking",Commercial,D
Ferti Technologies,http://www.fertitechnologies.com,555-456-7890,San Diego,CA,Medium,Discussing tooling solutions for consistent weight control.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
The Espoma Company,http://www.espoma.com,555-567-8901,Millville,NJ,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Helena Agri-Enterprises,https://www.helenaagri.com,901-761-0050,Collierville,TN,Medium,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Agrium Advanced Technologies,https://www.nutrien.com,403-225-7000,Calgary,AB,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Piramal Pharma Solutions,https://www.piramalpharmasolutions.com,732-346-3000,New Brunswick,NJ,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Recro Gainesville,https://www.recropharma.com,352-377-2000,Gainesville,FL,Medium,Discussing tooling optimization for consistent weight control.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Metrics Contract Services,https://www.metricscontractservices.com,919-481-2000,Morrisville,NC,High,Discussing tooling options for optimizing production efficiency.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
DPT Laboratories,https://www.dptlabs.com,210-558-2000,San Antonio,TX,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Avista Pharma Solutions,https://www.avistapharma.com,919-859-3000,Durham,NC,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Olon Ricerca Bioscience,https://www.olonricerca.com,440-835-1000,Cleveland,OH,Medium,Discussing tooling optimization for scale-up processes.,"Fette, Korsch, IMA","weight variation, capping, sticking",Scale-up,D
"Ash Stevens, LLC",https://www.ashstevens.com,313-881-3000,Detroit,MI,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,B
Xcelience,https://www.xcelience.com,813-288-3000,Tampa,FL,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Norwich Pharma Services,https://www.norwichpharma.com,860-886-2000,Norwich,CT,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Particle Testing Authority,https://www.particle-testing.com,800-860-1000,West Chester,PA,Medium,Discussing tooling solutions for R&D efficiency,"Fette, Korsch, IMA","weight variation, capping, sticking",R&D,D
Brookfield Engineering,https://www.brookfieldengineering.com,508-946-6200,Middleboro,MA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
"Retsch, Inc.",https://www.retsch.com,610-926-2026,Newtown,PA,High,Discussing tooling options for scale-up efficiency,"Fette, Korsch, IMA","weight variation, capping, sticking",Scale-up,D
"Q Laboratories, Inc.",https://www.qlaboratories.com,513-471-1300,Cincinnati,OH,Medium,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Particle Technology Labs,https://www.particletech.com,630-833-0300,Bensenville,IL,High,Discussing tooling options for scale-up efficiency,"Fette, Korsch, IMA","weight variation, capping, sticking",Scale-up,D
"Merit Laboratories, Inc.",http://www.meritlabs.com,800-888-6374,Huntington Beach,CA,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Pine Environmental Services,https://www.pineenvironmental.com,800-242-1705,Harrison,NJ,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
EAG Laboratories,https://www.eag.com,800-366-3867,San Diego,CA,High,Discussing tooling options for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Acorda Therapeutics,https://www.acorda.com,914-326-5000,Ardsley,NY,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,B
Athenex Pharma Solutions,https://www.athenex.com,716-939-1200,Buffalo,NY,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Fagron Sterile Services US,https://www.fagron.com,888-777-0123,Tempe,AZ,Medium,Discussing tooling options for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
QuVa Pharma,https://www.quvapharma.com,844-782-7426,Cypress,TX,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Central Admixture Pharmacy Services (CAPS),https://www.capspharmacy.com,800-700-4545,Winston-Salem,NC,Medium,Discussing tooling options for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
PharMEDium Services,https://www.pharmedium.com,877-742-7636,Lake Forest,IL,High,Discussing tooling options for consistent weight control.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Edge Pharma,https://www.edgepharma.com,888-334-3343,Henderson,NV,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,B
Olympia Compounding Pharmacy,https://www.olympiacompounding.com,360-754-2000,Olympia,WA,Medium,Discussing tooling options for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
Avella Specialty Pharmacy,https://www.avella.com,800-282-2020,Phoenix,AZ,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Triad Isotopes,https://www.triadisotopes.com,877-874-2345,Orlando,FL,Medium,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"CPS Solutions, LLC",https://www.cps-solutions.com,800-888-8778,Phoenix,AZ,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"Advanced Pharma, Inc.",http://www.advancedpharma.com,888-123-4567,San Diego,CA,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Pentec Health,http://www.pentechealth.com,800-123-4567,Philadelphia,PA,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
US Compounding,http://www.uscompounding.com,866-123-4567,Little Rock,AR,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,B
Ajinomoto Bio-Pharma Services,http://www.ajinomoto.com,858-123-4567,San Diego,CA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Velesco Pharma,http://www.velescopharma.com,734-123-4567,Ann Arbor,MI,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Noramco,https://www.noramco.com,800-888-6776,Newark,DE,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Formex LLC,http://www.formexllc.com,503-585-0800,Salem,OR,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Bend Research,https://www.bendresearch.com,541-382-4100,Bend,OR,High,Discussing tooling options for scale-up efficiency,"Fette, Korsch","weight variation, capping, sticking",Scale-up,D
"Aurobindo Pharma USA, Inc.",https://www.aurobindo.com,678-247-3000,East Windsor,NJ,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
GlaxoSmithKline USA,https://www.gsk.com,888-825-5249,Philadelphia,PA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
"GNC Holdings, Inc.",https://www.gnc.com,412-288-4600,Pittsburgh,PA,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
NOW Foods,https://www.nowfoods.com,800-449-2733,Bloomingdale,IL,High,Discussing tooling options for optimizing tablet consistency,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
The Nature's Bounty Co.,https://www.naturesbounty.com,800-433-2990,Ronkonkoma,NY,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,B
Vital Nutrients,https://www.vitalnutrients.com,800-243-5242,New Haven,CT,Medium,Discussing tooling options for optimizing tablet consistency and reducing defects.,Fette,"weight variation, capping, sticking",Commercial,D
"Nutrisystem, Inc.",https://www.nutrisystem.com,800-585-5483,Fort Washington,PA,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"Metagenics, Inc.",https://www.metagenics.com,800-692-9400,Aliso Viejo,CA,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Bodybuilding.com,https://www.bodybuilding.com,208-376-3000,Boise,ID,Medium,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Garden of Life,https://www.gardenoflife.com,800-877-1700,Palm Beach Gardens,FL,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
MegaFood,https://www.megafood.com,800-848-2542,Derry,NH,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Nature Made,https://www.naturemade.com,800-276-2878,Mission Hills,CA,High,Discussing tooling options for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
The Vitamin Shoppe,https://www.vitaminshoppe.com,1-888-849-8940,Secaucus,NJ,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Solgar Inc.,https://www.solgar.com,1-800-645-2246,Leonia,NJ,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
NutraScience Labs,https://www.nutrasciencelabs.com,1-800-640-7800,Hauppauge,NY,High,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
Vitafusion,https://www.vitafusion.com,1-800-433-4540,Bentonville,AR,Medium,Discussing tooling options for improved consistency in production.,Fette,"weight variation, capping, sticking",Commercial,D
Nature's Bounty,https://www.naturesbounty.com,1-800-433-2990,Ronkonkoma,NY,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,B
Vitabiotics USA,https://www.vitabiotics.com,800-920-2020,Mason,OH,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Douglas Laboratories,https://www.douglaslabs.com,800-245-4440,Pittsburgh,PA,High,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Natures Plus,https://www.naturesplus.com,800-645-6667,Highland,NY,Medium,Discussing tooling options for improved consistency and efficiency.,Fette,"weight variation, capping, sticking",Commercial,D
"Rexall Sundown, Inc.",https://www.rexallsundown.com,800-645-3220,Boca Raton,FL,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"21st Century HealthCare, Inc.",https://www.21stcenturyhealthcare.com,800-421-6167,Phoenix,AZ,Medium,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
Hasa Inc.,https://www.hasainc.com,800-433-2790,Granbury,TX,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Clearon Corp.,https://www.clearon.com,800-848-2020,Cincinnati,OH,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Kuehne Company,https://www.kuehnecompany.com,800-321-1150,Cleveland,OH,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"Axiall, a Westlake Company",https://www.westlake.com,800-321-1199,Houston,TX,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
NC Brands L.P.,https://www.ncbrands.com,888-622-7226,Henderson,NV,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"Haviland Enterprises, Inc.",https://www.havilandusa.com,616-451-3020,Grand Rapids,MI,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Solenis LLC,https://www.solenis.com,302-651-8000,Wilmington,DE,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
"Arch Chemicals, Inc.",https://www.archchemicals.com,678-247-1000,Atlanta,GA,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Robarb,https://www.robarb.com,800-423-2400,Henderson,NV,Low,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
PuriChem,https://www.purichem.com,888-787-4246,Burlington,NJ,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"Taylor Technologies, Inc.",https://www.taylor-tech.com,800-255-3924,Baltimore,MD,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Procter & Gamble,https://www.pg.com,513-983-1100,Cincinnati,OH,High,Discussing tooling solutions for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Ecolab Inc.,https://www.ecolab.com,800-352-5326,Saint Paul,MN,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
"Church & Dwight Co., Inc.",https://www.churchdwight.com,800-524-1328,Ewing,NJ,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Colgate-Palmolive Company,https://www.colgatepalmolive.com,212-310-2000,New York,NY,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Clorox Company,https://www.thecloroxcompany.com,510-271-7000,Oakland,CA,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Kao USA Inc.,https://www.kao.com/us/,800-252-4752,Cincinnati,OH,Medium,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Monument Chemical,https://www.monumentchemical.com,812-282-1000,Jeffersonville,IN,Medium,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
"Liberty Industries, Inc.",https://www.libertyind.com,800-645-5244,Braintree,MA,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Zep Inc.,https://www.zep.com,404-352-1680,Atlanta,GA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Puracy,https://puracy.com,888-891-1008,Austin,TX,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Ecover,https://www.ecover.com,800-322-8322,Boulder,CO,Medium,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
WD-40 Company,https://www.wd40.com,888-324-7596,San Diego,CA,High,Discussing tooling options for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
Simple Green,https://simplegreen.com,800-228-0709,Huntington Beach,CA,Medium,Discussing tooling solutions for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
"Jelmar, LLC",https://www.jelmar.com,800-323-5497,Skokie,IL,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Arm & Hammer,https://www.armandhammer.com,800-524-1328,Princeton,NJ,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
The Libman Company,https://www.libman.com,800-424-1487,Arcola,IL,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"GOJO Industries, Inc.",https://www.gojo.com,800-321-9647,Akron,OH,High,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
Green Works,https://www.greenworkscleans.com,800-228-4722,Cincinnati,OH,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Biokleen,https://www.biokleen.com,800-877-0458,Vancouver,WA,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,B
Lemi Shine,https://www.lemi-shine.com,888-675-0002,Austin,TX,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Sun & Earth,https://www.sunandearth.com,800-786-1234,Huntington Beach,CA,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Lysol (Reckitt Benckiser),https://www.lysol.com,800-228-4722,Parsippany,NJ,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Finish (Reckitt Benckiser),https://www.finishdishwashing.com,800-228-4722,Parsippany,NJ,High,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
BioClean Environmental Services,https://www.bioclean.com,800-800-1234,San Diego,CA,Medium,Discussing tooling solutions for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
RID-X,https://www.rid-x.com,800-558-5252,St. Louis,MO,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Green Gobbler,https://www.greengobbler.com,888-840-5068,Hauppauge,NY,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
"Roebic Laboratories, Inc.",https://www.roebic.com,800-624-5759,Elizabethtown,KY,Medium,Discussing solutions for weight consistency and capping issues.,Fette,"weight variation, capping, sticking",Commercial,D
Septic-Flow,https://www.septic-flow.com,888-763-2840,Benson,NC,Low,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Septic-Scrub,https://www.septic-scrub.com,800-555-5555,Unknown,Unknown,Low,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Bio-Sol,http://www.bio-sol.com,800-555-0199,Boulder,CO,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,B
Pro-Pump,http://www.pro-pump.com,888-555-0123,Phoenix,AZ,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Septic Seep,http://www.septicseep.com,877-555-0145,Atlanta,GA,Low,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Enviro-Tab,http://www.enviro-tab.com,800-555-0188,San Diego,CA,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Septic Maxx,http://www.septicmaxx.com,866-555-0177,Dallas,TX,Low,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Enzymes by Bio-Solutions,http://www.enzymesbybio.com,800-123-4567,Phoenix,AZ,Medium,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch, IMA","weight variation, capping, sticking",Scale-up,D
Septic Safe,http://www.septicsafe.com,800-234-5678,Jacksonville,FL,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Eco-Septic Solutions,http://www.ecosepticsolutions.com,800-345-6789,San Diego,CA,Medium,Discussing tooling options for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
Septic Doctor,http://www.septicdoctor.com,800-456-7890,Atlanta,GA,Medium,Discussing solutions for weight consistency and defect reduction.,Fette,"weight variation, capping, sticking",Commercial,D
Septic Tech,http://www.septictech.com,800-567-8901,Dallas,TX,Medium,Discussing solutions for weight consistency and defect reduction.,Fette,"weight variation, capping, sticking",Commercial,D
Clearstream,https://www.clearstream.com,888-123-4567,San Diego,CA,Medium,Discussing tooling options for optimizing tablet consistency.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Septic Genie,https://www.septicgenie.com,800-123-4567,Henderson,NV,Medium,Discussing tooling options for consistent weight control.,Fette,"weight variation, capping, sticking",Commercial,D
Septic Relief,https://www.septicrelief.com,877-123-4567,Tampa,FL,Medium,Discussing tooling options to enhance tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
EcoSafe Labs,https://www.ecosafelabs.com,888-765-4321,Phoenix,AZ,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
GreenEarth Cleaning,https://www.greenearthcleaning.com,877-123-4567,New York,NY,Medium,Discussing tooling options for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,B
BioClean Solutions,https://www.biocleansolutions.com,800-555-0199,Harrison,NY,Medium,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"Diversey, Inc.",https://www.diversey.com,800-558-2332,Fort Mill,SC,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch, IMA","weight variation, capping, sticking",Commercial,D
Caldrea Company,https://www.caldrea.com,888-837-5380,Minneapolis,MN,Medium,Discussing tooling options for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
Blueland,https://www.blueland.com,888-250-2020,New York,NY,Medium,Discussing tooling options for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,B
Truce Clean,https://www.truceclean.com,888-874-8233,Portland,OR,Low,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,D
"EcoSMART Technologies, Inc.",https://www.ecosmart.com,888-327-2248,San Diego,CA,Medium,Discussing tooling options for scale-up efficiency,Fette,"weight variation, capping, sticking",Scale-up,D
"S.C. Johnson & Son, Inc.",https://www.scjohnson.com,262-260-2000,Racine,WI,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
Scrubbing Bubbles,https://www.scrubbingbubbles.com,800-558-5252,Racine,WI,High,Discussing tooling optimization for consistent tablet quality.,Fette,"weight variation, capping, sticking",Commercial,B
Cascade,https://www.cascadeclean.com,800-765-5516,Racine,WI,High,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
CLR Brands,https://www.clrbrands.com,800-CLR-CLNR,Huntley,IL,Medium,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,B
CBDfx,https://cbdfx.com,800-935-8420,Los Angeles,CA,High,Discussing tooling options for optimizing tablet consistency.,Fette,"weight variation, capping, sticking",Commercial,D
Medterra,https://medterracbd.com,800-961-4208,Los Angeles,CA,High,Discussing tooling optimization for consistent tablet quality.,"Fette, Korsch","weight variation, capping, sticking",Commercial,D
