Company,City,State,Phone,Website,LinkedIn,Natoli Fit,Territory,Sales Rep,Industry,Confidence,Reason,503A,503B,GMP Likely,FDA Likely,Industry Match,AI Decision,AI Compression,AI Division,AI Confidence,Pressure Signals,Competitors,AI Summary
Weiler Abrasives,Cresco,PA,-8659,https://www.weilerabrasives.com,https://linkedin.com/company/weilerabrasives,Engineering,Northeast,Raffaele Romano,abrasives manufacturing,90,Produces abrasives that require custom presses and tooling,,,,,,DEPRIORITIZE,none,None,70,,,No tablet compression opportunities identified in the abrasives manufacturing sector for Weiler Abrasives.
Osborn,Richmond,IN,-7062,https://www.osborn.com,https://linkedin.com/company/osborn,Engineering,Central,David Nelson,abrasives manufacturing,90,Manufactures industrial brushes and abrasives needing tooling,,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in the abrasives manufacturing sector.
"Dynabrade, Inc.",Clarence,NY,-1446,https://www.dynabrade.com,https://linkedin.com/company/dynabrade,Engineering,Northeast,Raffaele Romano,abrasives manufacturing,90,Provides abrasive power tools and supplies requiring tooling,,,,,,DEPRIORITIZE,none,None,70,,,No tablet compression opportunities identified in the abrasives manufacturing sector.
Pearl Abrasive Co.,Commerce,CA,-7329,https://www.pearlabrasive.com,https://linkedin.com/company/pearl-abrasive-co-,Engineering,West Coast,Fernando Delgado,abrasives manufacturing,90,Supplier of abrasives for various industries needing presses,,,,,,DEPRIORITIZE,none,None,70,,,No immediate tablet compression opportunities identified with Pearl Abrasive Co.
United Abrasives Inc.,North Windham,CT,-8446,https://www.unitedabrasives.com,https://linkedin.com/company/united-abrasives-inc,Engineering,Northeast,Raffaele Romano,abrasives manufacturing,90,Produces bonded abrasives requiring precise manufacturing,,,,,,DEPRIORITIZE,none,None,70,,,No tablet compression opportunities identified for United Abrasives Inc.
Standard Abrasives,Tonawanda,NY,-10789,https://www.standardabrasives.com,https://linkedin.com/company/standard-abrasives,Engineering,Northeast,Raffaele Romano,abrasives manufacturing,90,Provides abrasive solutions necessitating tooling and presses,,,,,,DEPRIORITIZE,none,None,70,,,No immediate tablet compression opportunities identified in the abrasives manufacturing sector.
Lehigh Hanson,Irving,TX,-7124,https://www.lehighhanson.com,https://linkedin.com/company/lehigh-hanson,Engineering,Central,David Nelson,abrasives manufacturing,90,Manufacturer of construction materials including abrasives,,,,,,MONITOR,medium,Engineering,75,high pressure; medium pressure,Fette; Korsch,Lehigh Hanson presents a medium opportunity for tablet compression improvements in their abrasives manufacturing process.
Zimmer Biomet,Warsaw,IN,-6971,https://zimmerbiomet.com,https://linkedin.com/company/zimmerbiomet,Engineering,Central,David Nelson,medical implants manufacturing,90,Major manufacturer of orthopedic implants requiring precision tooling,,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in the orthopedic implants manufacturing sector.
Boston Scientific,Marlborough,MA,-5190,https://bostonscientific.com,https://linkedin.com/company/boston-scientific,Engineering,Northeast,Raffaele Romano,medical implants manufacturing,90,Produces a broad array of medical implants,,,,,,MONITOR,medium,Both,75,low pressure; medium pressure; high pressure,Fette; Korsch,Boston Scientific has moderate tablet compression opportunities with potential risks that require monitoring.
Smith & Nephew,Andover,MA,-2726,https://smith-nephew.com,https://linkedin.com/company/smith&nephew,Engineering,Northeast,Raffaele Romano,medical implants manufacturing,90,Produces orthopedic and wound care products,,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in Smith & Nephew's current manufacturing focus.
Zimmer Biomet Dental,Palm Beach Gardens,FL,-8036,https://zimmerbiometdental.com,https://linkedin.com/company/zimmer-biomet-dental,Engineering,Southeast,Danny Ambrose,medical implants manufacturing,90,Specializes in dental implants and related products,,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in the dental implants sector.
"Biomet, Inc.",Warsaw,IN,-7479,https://biomet.com,https://linkedin.com/company/biomet,Engineering,Central,David Nelson,medical implants manufacturing,90,Orthopedic implant manufacturer,,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in the orthopedic implant manufacturing sector.
NuVasive,San Diego,CA,-3566,https://nuvasive.com,https://linkedin.com/company/nuvasive,Engineering,West Coast,Fernando Delgado,medical implants manufacturing,90,Produces spine surgical products and implants,,,,,,MONITOR,medium,Engineering,75,low pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression improvements in the production of spine surgical products and implants.
DJO Global,Vista,CA,-2766,https://djoglobal.com,https://linkedin.com/company/djo,Engineering,West Coast,Fernando Delgado,medical implants manufacturing,90,Manufactures orthopedic devices and implants,,,,,,MONITOR,medium,Engineering,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for optimizing tablet compression in orthopedic device manufacturing.
Wright Medical Group N.V.,Memphis,TN,-11738,https://wright.com,https://linkedin.com/company/wright-medical,Engineering,Southeast,Danny Ambrose,medical implants manufacturing,90,Focuses on extremities and biologics for orthopedic implants,,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in the medical implants sector for Wright Medical Group.
Exactech,Gainesville,FL,-1868,https://exac.com,https://linkedin.com/company/exactech,Engineering,Southeast,Danny Ambrose,medical implants manufacturing,90,Develops orthopedic implant devices,,,,,,MONITOR,medium,Engineering,80,low pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression in orthopedic implant devices with potential risks that need monitoring.
Integra LifeSciences,Princeton,NJ,-1383,https://integralife.com,https://linkedin.com/company/integra-lifesciences,Engineering,Northeast,Raffaele Romano,medical implants manufacturing,90,Produces medical products including implants,,,,,,MONITOR,medium,Both,80,low pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression processes in medical implants manufacturing.
Globus Medical,Audubon,PA,-3339,https://globusmedical.com,https://linkedin.com/company/globus-medical,Engineering,Northeast,Raffaele Romano,medical implants manufacturing,90,Develops spinal implants and related devices,,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in the medical implants sector.
Orthofix Medical Inc.,Lewisville,TX,-3150,https://orthofix.com,https://linkedin.com/company/orthofix,Engineering,Central,David Nelson,medical implants manufacturing,90,Specializes in spine and orthopedic solutions,,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in the medical implants sector for Orthofix Medical Inc.
Dentsply Sirona,Charlotte,NC,-1828,https://dentsplysirona.com,https://linkedin.com/company/dentsply-sirona,Engineering,Southeast,Danny Ambrose,medical implants manufacturing,90,Manufactures dental products and implants,,,,,,MONITOR,none,None,70,,Fette; Korsch,Dentsply Sirona's focus on dental products and implants presents limited opportunities for tablet compression evaluation.
ZimVie,Westminster,CO,-8245,https://zimvie.com,https://linkedin.com/company/zimvie,Engineering,Rocky Mountain,Eric Maughan,medical implants manufacturing,90,Focuses on spine and dental implant products,,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in the medical implants sector for ZimVie.
Estée Lauder Companies,New York,NY,-4983,https://www.elcompanies.com,https://linkedin.com/company/estee-lauder-companies-inc,Both,Northeast,Raffaele Romano,cosmetics pressed powder,100,Major cosmetics manufacturer with need for pressed powder tablets and formulations,,,,,Yes,ENGAGE,high,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,Estée Lauder Companies presents a significant opportunity for high compression tablet formulations in the cosmetics sector.
Revlon Inc.,New York,NY,-4738,https://www.revlon.com,https://linkedin.com/company/revlon,Both,Northeast,Raffaele Romano,cosmetics pressed powder,100,Produces pressed powder cosmetics requiring tablet formulation and pressing,,,,,Yes,ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,"Revlon Inc. presents a medium opportunity for tablet compression in pressed powder cosmetics, with potential risks that can be managed through engagement."
Coty Inc.,New York,NY,-7900,https://www.coty.com,https://linkedin.com/company/coty,Both,Northeast,Raffaele Romano,cosmetics pressed powder,100,Global beauty company with significant pressed powder product lines,,,,,Yes,ENGAGE,high,Both,85,high pressure; medium pressure,Fette; Korsch,Coty Inc. presents a significant opportunity for tablet compression optimization in their pressed powder product lines.
Mary Kay Inc.,Addison,TX,-7958,https://www.marykay.com,https://linkedin.com/company/mary-kay-inc,Both,Central,David Nelson,cosmetics pressed powder,100,Produces cosmetics including pressed powder products,,,,,Yes,ENGAGE,medium,Both,80,low pressure; optimal pressure; high pressure,Fette; Korsch,There is a medium opportunity for optimizing tablet compression in Mary Kay's pressed powder products.
e.l.f. Cosmetics,Oakland,CA,-9074,https://www.elfcosmetics.com,https://linkedin.com/company/e-l-f-cosmetics,Both,West Coast,Fernando Delgado,cosmetics pressed powder,100,Known for affordable cosmetics including pressed powders,,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression processes in e.l.f. Cosmetics' pressed powders.
Anastasia Beverly Hills,Los Angeles,CA,-4882,https://www.anastasiabeverlyhills.com,https://linkedin.com/company/anastasia-beverly-hills,Both,West Coast,Fernando Delgado,cosmetics pressed powder,100,Produces high-end cosmetics including pressed powders,,,,,Yes,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in the cosmetics pressed powder sector.
Urban Decay Cosmetics,Newport Beach,CA,-10305,https://www.urbandecay.com,https://linkedin.com/company/urban-decay-cosmetics,Both,West Coast,Fernando Delgado,cosmetics pressed powder,100,Produces popular cosmetics including pressed powder products,,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Urban Decay Cosmetics presents a medium opportunity for tablet compression improvements in their pressed powder products.
Tarte Cosmetics,New York,NY,-4292,https://tartecosmetics.com,https://linkedin.com/company/tarte-cosmetics,Both,Northeast,Raffaele Romano,cosmetics pressed powder,100,Offers a range of cosmetics including pressed powders,,,,,Yes,MONITOR,medium,Both,75,high pressure; medium pressure,Fette; Korsch,Tarte Cosmetics presents a medium opportunity for tablet compression in their pressed powder line.
ColourPop Cosmetics,Oxnard,CA,,https://colourpop.com,https://linkedin.com/company/colourpop-cosmetics,Both,West Coast,Fernando Delgado,cosmetics pressed powder,90,Produces trendy cosmetics such as pressed powder palettes,,,,,Yes,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in the cosmetics pressed powder sector.
Too Faced Cosmetics,Irvine,CA,-4943,https://www.toofaced.com,https://linkedin.com/company/toofaced,Both,West Coast,Fernando Delgado,cosmetics pressed powder,100,"Creates popular makeup products, including pressed powders",,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression in the pressed powder segment of cosmetics.
Bare Escentuals,San Francisco,CA,-6429,https://www.bareminerals.com,https://linkedin.com/company/bare-escentuals,Both,West Coast,Fernando Delgado,cosmetics pressed powder,100,"Specializes in mineral-based cosmetics, including pressed powders",,,,,Yes,MONITOR,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in mineral-based pressed powders.
Smashbox Studios,Culver City,CA,-3011,https://www.smashbox.com,https://linkedin.com/company/smashbox-cosmetics,Both,West Coast,Fernando Delgado,cosmetics pressed powder,100,Produces professional makeup lines including pressed powders,,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression processes in pressed powder production at Smashbox Studios.
IT Cosmetics,Jersey City,NJ,-6275,https://www.itcosmetics.com,https://linkedin.com/company/it-cosmetics,Both,Northeast,Raffaele Romano,cosmetics pressed powder,100,"Offers a wide range of beauty products, including pressed powders",,,,,Yes,MONITOR,medium,Both,75,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression in pressed powders with potential risks that need monitoring.
Glossier,New York,NY,-3962,https://www.glossier.com,https://linkedin.com/company/glossier,Both,Northeast,Raffaele Romano,cosmetics pressed powder,100,"Produces minimalist beauty products, including pressed powders",,,,,Yes,ENGAGE,medium,Both,85,low pressure; medium pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in Glossier's pressed powder production.
L'Oréal USA,New York,NY,-2529,https://www.lorealusa.com,https://linkedin.com/company/loreal,Both,Northeast,Raffaele Romano,cosmetics pressed powder,100,Largest cosmetics company with extensive pressed powder lines,,,,,Yes,ENGAGE,high,Both,85,high pressure; medium pressure; low pressure,Fette; Korsch,L'Oréal USA presents a significant opportunity for tablet compression improvements in their pressed powder lines due to their market leadership and extensive product range.
Milani Cosmetics,Los Angeles,CA,-9656,https://www.milanicosmetics.com,https://linkedin.com/company/milani-cosmetics,Both,West Coast,Fernando Delgado,cosmetics pressed powder,100,Known for affordable and high-quality pressed powders,,,,,Yes,ENGAGE,medium,Both,80,inconsistent tablet hardness; variability in weight; inadequate flow properties,Fette; Korsch,There is a medium opportunity for improving tablet compression in Milani Cosmetics' pressed powders to enhance quality and reduce production risks.
Becca Cosmetics,New York,NY,-10031,https://www.beccacosmetics.com,https://linkedin.com/company/beccacosmetics,Both,Northeast,Raffaele Romano,cosmetics pressed powder,100,Produces high-end cosmetics including pressed powders,,,,,Yes,ENGAGE,medium,Both,80,high pressure; medium pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression processes in pressed powder production for Becca Cosmetics.
Pat McGrath Labs,New York,NY,,https://www.patmcgrath.com,https://linkedin.com/company/patmcgrathlabs,Both,Northeast,Raffaele Romano,cosmetics pressed powder,90,Luxury cosmetics brand with pressed powder products,,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,"There is a medium opportunity for tablet compression in pressed powder products for Pat McGrath Labs, with potential risks to manage."
"The Andersons, Inc.",Maumee,OH,-6361,https://andersonsplantnutrient.com,https://linkedin.com/company/the-andersons,Both,Central,David Nelson,agricultural fertilizer tablets,100,Produces pelletized fertilizers and may require tablet presses and formulation services.,,,,,,EDUCATE,medium,Both,75,low pressure; medium pressure; high pressure,Fette; Korsch,"The Andersons, Inc. presents a medium opportunity for tablet compression in agricultural fertilizer tablets, requiring education on optimal tablet press usage."
ICL Specialty Fertilizers,Dublin,OH,-9546,https://icl-sf.com,https://linkedin.com/company/icl-group,Both,Central,David Nelson,agricultural fertilizer tablets,100,Specializes in controlled-release fertilizers which may involve pellet or tablet forms.,,,,,,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression in the production of controlled-release fertilizer tablets.
Florikan ESA LLC,Sarasota,FL,-9983,https://florikan.com,https://linkedin.com/company/florikan,Both,Southeast,Danny Ambrose,agricultural fertilizer tablets,100,Manufactures controlled-release fertilizers that could involve tablet or pellet technology.,,,,,,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving tablet compression in controlled-release fertilizers with potential risks to consider.
Scotts Miracle-Gro Company,Marysville,OH,-1591,https://scottsmiraclegro.com,https://linkedin.com/company/scotts-miracle-gro,Both,Central,David Nelson,agricultural fertilizer tablets,100,"Develops a range of plant fertilizers, including granulated and pellet forms.",,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified for Scotts Miracle-Gro Company's agricultural fertilizer tablets.
J.R. Simplot Company,Boise,ID,-2653,https://simplot.com,https://linkedin.com/company/simplot,Both,Rocky Mountain,Eric Maughan,agricultural fertilizer tablets,100,"Provides a variety of plant fertilizers, potentially using tablet or pellet technologies.",,,,,,EDUCATE,medium,Both,75,low pressure; medium pressure,Fette; Korsch,"There is a medium opportunity for J.R. Simplot Company to explore tablet compression technologies for agricultural fertilizers, with potential risks to product integrity."
Nutrien Ltd.,Loveland,CO,-4954,https://nutrien.com,https://linkedin.com/company/nutrien,Both,Rocky Mountain,Eric Maughan,agricultural fertilizer tablets,100,"One of the largest producers of fertilizers, including granulated products.",,,,,,MONITOR,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,"Nutrien Ltd. has potential for medium compression opportunities in agricultural fertilizer tablets, requiring monitoring for optimal pressure management."
"AgroThrive, Inc.",Gonzales,CA,-4358,https://agrothrive.com,https://linkedin.com/company/agrothrive,Both,West Coast,Fernando Delgado,agricultural fertilizer tablets,100,Produces organic fertilizers that could use tableting technology.,,,,,,ENGAGE,medium,Both,80,low pressure; medium pressure,Fette; Korsch,"AgroThrive, Inc. has a medium opportunity for tablet compression in their organic fertilizer tablets, with potential risks that need to be addressed."
Advanced Nutrients Ltd.,Los Angeles,CA,-11044,https://advancednutrients.com,https://linkedin.com/company/advanced-nutrients-ltd,Both,West Coast,Fernando Delgado,agricultural fertilizer tablets,100,"Produces a wide range of plant nutrients, potentially involving tablet formulations.",,,,,,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression in agricultural fertilizer tablets with potential risks that need to be managed.
"BioWorks, Inc.",Victor,NY,-11119,https://bioworksinc.com,https://linkedin.com/company/bioworks-inc,Both,Northeast,Raffaele Romano,agricultural fertilizer tablets,100,"Develops biological control products, possibly needing tablet or pellet formulations.",,,,,,ENGAGE,medium,Both,80,inconsistent tablet density; tablet breakage during handling; variability in dissolution rates,Fette; Korsch,"There is a medium opportunity for tablet compression in agricultural fertilizer tablets, with potential risks and the need for engagement."
Yara North America,Tampa,FL,-6734,https://yara.us,https://linkedin.com/company/yara,Both,Southeast,Danny Ambrose,agricultural fertilizer tablets,100,"Produces a range of fertilizers, possibly including tablet or pellet forms.",,,,,,EDUCATE,medium,Both,75,low pressure; medium pressure; high pressure,Fette; Korsch,"Yara North America has potential to improve tablet compression processes for agricultural fertilizers, balancing efficiency and product quality."
"CF Industries Holdings, Inc.",Deerfield,IL,-3651,https://cfindustries.com,https://linkedin.com/company/cf-industries,Both,Central,David Nelson,agricultural fertilizer tablets,100,"Manufactures nitrogen fertilizers, potentially involving granulation technology.",,,,,,DEPRIORITIZE,none,None,70,,,No significant tablet compression opportunities identified in the agricultural fertilizer sector for CF Industries.
Gowan Company,Yuma,AZ,-10554,https://gowanco.com,https://linkedin.com/company/gowan-company,Both,Rocky Mountain,Eric Maughan,agricultural fertilizer tablets,100,"Specializes in crop protection, possibly involving tablet or pellet products.",,,,,,EDUCATE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Gowan Company has a medium opportunity for tablet compression improvements in their agricultural fertilizer tablets.
"Helena Agri-Enterprises, LLC",Collierville,TN,-1711,https://helenaagri.com,https://linkedin.com/company/helenaagri,Both,Southeast,Danny Ambrose,agricultural fertilizer tablets,100,"Offers a wide range of agricultural inputs, possibly including granular or pellet forms.",,,,,,DEPRIORITIZE,none,None,70,,,"No significant tablet compression opportunities identified for Helena Agri-Enterprises, LLC."
Wilbur-Ellis Company LLC,San Francisco,CA,-5186,https://wilburellis.com,https://linkedin.com/company/wilbur-ellis,Both,West Coast,Fernando Delgado,agricultural fertilizer tablets,100,"Distributes agricultural products, including potential tablet or pellet forms.",,,,,,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression in agricultural fertilizer tablets with potential risks that need to be managed.
Cargill Animal Nutrition,Minneapolis,MN,-5481,https://www.cargill.com/animal-nutrition,https://linkedin.com/company/cargill,Both,Central,David Nelson,animal feed supplements,100,"Produces animal feed and supplements, requiring tablet presses and formulation services.",,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Cargill Animal Nutrition presents a medium opportunity for tablet compression improvements in their animal feed supplements.
ADM Animal Nutrition,Quincy,IL,-7538,https://www.admanimalnutrition.com,https://linkedin.com/company/adm-animal-nutrition,Both,Central,David Nelson,animal feed supplements,100,"Specializes in animal feed and supplements, requiring both engineering and scientific support.",,,,,Yes,ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression in animal feed supplements requiring both engineering and scientific support.
Purina Animal Nutrition,Shoreview,MN,-9967,https://www.purinamills.com,https://linkedin.com/company/purina-animal-nutrition-llc,Both,Central,David Nelson,animal feed supplements,100,"Produces feed and supplements, needing formulations and tablet manufacturing.",,,,,Yes,ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression in animal feed supplements with potential risks that need to be managed.
"Church & Dwight Co., Inc.",Ewing,NJ,-2614,https://www.churchdwight.com,https://linkedin.com/company/church-&-dwight-co-inc,Both,Northeast,Raffaele Romano,animal feed supplements,100,"Produces animal nutrition products, requiring tablet manufacturing capabilities.",,,,,Yes,ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression in animal feed supplements with manageable risks.
Ridley Inc.,Mankato,MN,-10294,https://www.ridleyinc.com,https://linkedin.com/company/ridley-inc,Both,Central,David Nelson,animal feed supplements,100,"Engages in animal nutrition, requiring both formulation and tablet production.",,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Ridley Inc. presents a medium opportunity for tablet compression improvements in animal feed supplements.
BioZyme Incorporated,Saint Joseph,MO,-8137,https://www.biozymeinc.com,https://linkedin.com/company/biozyme-inc,Both,Central,David Nelson,animal feed supplements,100,"Manufactures animal health and nutrition products, needing tablet and formulation services.",,,,,Yes,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,BioZyme Incorporated presents a medium opportunity for tablet compression services in the animal health sector.
Arm & Hammer Animal and Food Production,Princeton,NJ,-2614,https://ahfoodchain.com,,Both,Northeast,Raffaele Romano,animal feed supplements,95,"Produces animal nutrition products, requiring tablet manufacturing capabilities.",,,,,Yes,ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression in animal feed supplements with manageable risks.
Diamond V,Cedar Rapids,IA,-1429,https://www.diamondv.com,https://linkedin.com/company/diamond-v-mills,Both,Central,David Nelson,animal feed supplements,100,"Engages in animal health and nutrition, requiring both formulation and tablet production.",,,,,Yes,ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression in animal feed supplements with manageable risks and competitive presence.
Kalmbach Feeds,Upper Sandusky,OH,-4550,https://www.kalmbachfeeds.com,https://linkedin.com/company/kalmbach-feeds-inc-,Both,Central,David Nelson,animal feed supplements,100,"Produces animal nutrition products, needing tablet manufacturing capabilities.",,,,,Yes,ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,"Kalmbach Feeds has a medium opportunity for tablet compression in their animal nutrition products, warranting engagement for manufacturing capabilities."
"JBS United, Inc.",Sheridan,IN,-5569,https://www.jbsunited.com,https://linkedin.com/company/jbs-united,Both,Central,David Nelson,animal feed supplements,100,"Engages in animal feed production, requiring both formulation and tablet production.",,,,,Yes,ENGAGE,medium,Both,85,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for tablet compression improvements in animal feed supplement production.
Federal-Mogul Motorparts,Southfield,MI,-8301,https://fmmotorparts.com,https://linkedin.com/company/federal-mogul-motorparts,Engineering,Central,David Nelson,brake pad powder compaction,90,Manufactures friction products requiring powder compaction,,,,,,ENGAGE,high,Both,85,high pressure; medium pressure; low pressure,Fette; Korsch,There is a significant opportunity for optimizing powder compaction in brake pad manufacturing.
"Raybestos Powertrain, LLC",Crawfordsville,IN,-5628,https://raybestospowertrain.com,https://linkedin.com/company/raybestos-powertrain,Engineering,Central,David Nelson,brake pad powder compaction,90,Produces friction clutch plates using powder metallurgy,,,,,,MONITOR,medium,Engineering,80,low pressure; optimal pressure; high pressure,Fette; Korsch,There is a medium opportunity for optimizing brake pad powder compaction processes.
"MAT Holdings, Inc.",Long Grove,IL,-11297,https://mat-holdings.com,https://linkedin.com/company/mat-holdings,Engineering,Central,David Nelson,brake pad powder compaction,90,Manufactures friction materials including brake pads,,,,,,MONITOR,medium,Engineering,75,low pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving brake pad powder compaction with potential risks that need monitoring.
ZF TRW,Livonia,MI,-4188,https://zf.com,https://linkedin.com/company/zf-group,Engineering,Central,David Nelson,brake pad powder compaction,90,Produces friction materials for vehicle braking systems,,,,,,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving brake pad powder compaction processes to enhance product consistency and performance.
Nisshinbo Automotive Manufacturing Inc.,Covington,GA,-7854,https://nisshinbo.co.jp,,Engineering,Southeast,Danny Ambrose,brake pad powder compaction,85,Specializes in the production of friction materials,,,,,,MONITOR,medium,Engineering,75,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving brake pad powder compaction processes at Nisshinbo Automotive Manufacturing Inc.
"ADVICS Manufacturing Ohio, Inc.",Lebanon,OH,-6658,https://advics-na.com,https://linkedin.com/company/advics,Engineering,Central,David Nelson,brake pad powder compaction,90,Manufactures brake components including friction materials,,,,,,MONITOR,medium,Engineering,75,low pressure; high pressure; optimal pressure,Fette; Korsch,There is a medium opportunity for improving brake pad powder compaction with a focus on monitoring pressure signals.
Ferodo,Smithville,TN,-6411,https://ferodo.com,,Engineering,Southeast,Danny Ambrose,brake pad powder compaction,85,Produces automotive friction materials,,,,,,MONITOR,medium,Engineering,75,low pressure signals; medium pressure signals,Fette; Korsch,There is a medium opportunity for improving the compaction process of brake pad powder at Ferodo.
Centric Parts,Carson,CA,-1618,https://centricparts.com,,Engineering,West Coast,Fernando Delgado,brake pad powder compaction,85,Develops and manufactures braking components,,,,,,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving brake pad powder compaction processes at Centric Parts.
Wagner Brake,Southfield,MI,-3882,https://wagnerbrake.com,,Engineering,Central,David Nelson,brake pad powder compaction,85,Specializes in friction technology for brakes,,,,,,ENGAGE,medium,Both,80,low pressure; medium pressure; high pressure,Fette; Korsch,Wagner Brake has a medium opportunity for optimizing brake pad powder compaction with potential risks to manage.
Bosch Brake Components LLC,Broadview,IL,-6782,https://boschautoparts.com,,Engineering,Central,David Nelson,brake pad powder compaction,85,Produces brake components including friction materials,,,,,,MONITOR,medium,Engineering,75,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving brake pad powder compaction processes with potential risks to monitor.
Cardone Industries,Philadelphia,PA,-6356,https://cardone.com,https://linkedin.com/company/cardone-industries,Engineering,Northeast,Raffaele Romano,brake pad powder compaction,90,Remanufactures automotive parts including brake systems,,,,,,MONITOR,medium,Engineering,75,low pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving brake pad powder compaction with potential risks that need monitoring.
Power Stop LLC,Bedford Park,IL,-6165,https://powerstop.com,https://linkedin.com/company/power-stop,Engineering,Central,David Nelson,brake pad powder compaction,90,Manufactures high-performance brake systems,,,,,,ENGAGE,medium,Engineering,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving brake pad powder compaction processes to enhance performance.
Brake Parts Inc. LLC,McHenry,IL,-10177,https://brakepartsinc.com,https://linkedin.com/company/brake-parts-inc,Engineering,Central,David Nelson,brake pad powder compaction,90,Produces brake components requiring powder compaction,,,,,,ENGAGE,high,Both,85,high pressure; medium pressure; low pressure,Fette; Korsch,Brake Parts Inc. LLC has a significant opportunity for optimizing powder compaction in brake pad production.
Hawk Performance,Solon,OH,-2313,https://hawkperformance.com,,Engineering,Central,David Nelson,brake pad powder compaction,85,Develops high-performance friction products,,,,,,ENGAGE,medium,Engineering,80,low pressure; medium pressure; high pressure,Fette; Korsch,There is a medium opportunity for improving brake pad powder compaction processes to enhance product performance.
MPP,Indianapolis,IN,-2814,https://www.mppinnovation.com,https://linkedin.com/company/mpp-innovation,Engineering,Central,David Nelson,sintered metal components,90,"Produces powder metal parts, likely needing presses for compaction",,,,,,ENGAGE,high,Engineering,85,high pressure required for compaction; potential for uneven pressure distribution,Fette; Korsch,There is a significant opportunity to enhance tablet compression processes for sintered metal components using advanced pressing techniques.
